variable_nombre,variable_valor,status
A Light in the ...,5177,1.0
Tipping the Velvet,5374,1.0
Soumission,5010,1.0
Sharp Objects,4782,1.0
Sapiens: A Brief History ...,5423,1.0
The Requiem Red,2265,1.0
The Dirty Little Secrets ...,3334,1.0
The Coming Woman: A ...,1793,1.0
The Boys in the ...,2260,1.0
The Black Maria,5215,1.0
Starving Hearts (Triangular Trade ...,1399,1.0
Shakespeare's Sonnets,2066,1.0
Set Me Free,1746,1.0
Scott Pilgrim's Precious Little ...,5229,1.0
Rip it Up and ...,3502,1.0
Our Band Could Be ...,5725,1.0
Olio,2388,1.0
Mesaerion: The Best Science ...,3759,1.0
Libertarianism for Beginners,5133,1.0
It's Only the Himalayas,4517,1.0
In Her Wake,1284,1.0
How Music Works,3732,1.0
Foolproof Preserving: A Guide ...,3052,1.0
Chase Me (Paris Nights ...,2527,1.0
Black Dust,3453,1.0
Birdsong: A Story in ...,5464,1.0
America's Cradle of Quarterbacks: ...,2250,1.0
Aladdin and His Wonderful ...,5313,1.0
Worlds Elsewhere: Journeys Around ...,4030,1.0
Wall and Piece,4418,1.0
The Four Agreements: A ...,1766,1.0
The Five Love Languages: ...,3105,1.0
The Elephant Tree,2382,1.0
The Bear and the ...,3689,1.0
Sophie's World,1594,1.0
Penny Maybe,3329,1.0
Maude (1883-1993):She Grew Up ...,1802,1.0
"In a Dark, Dark ...",1963,1.0
Behind Closed Doors,5222,1.0
You can't bury them ...,3363,1.0
Slow States of Collapse: ...,5731,1.0
Reasons to Stay Alive,2641,1.0
Private Paris (Private #10),4761,1.0
#HigherSelfie: Wake Up Your ...,2311,1.0
Without Borders (Wanderlove #1),4507,1.0
When We Collided,3177,1.0
"We Love You, Charlie ...",5027,1.0
Untitled Collection: Sabbath Poems ...,1427,1.0
Unseen City: The Majesty ...,4418,1.0
Unicorn Tracks,1878,1.0
Unbound: How Eight Technologies ...,2552,1.0
Tsubasa: WoRLD CHRoNiCLE 2 ...,1628,1.0
Throwing Rocks at the ...,3112,1.0
This One Summer,1949,1.0
Thirst,1727,1.0
The Torch Is Passed: ...,1909,1.0
The Secret of Dreadwillow ...,5613,1.0
The Pioneer Woman Cooks: ...,5641,1.0
The Past Never Ends,5650,1.0
The Natural History of ...,4522,1.0
The Nameless City (The ...,3816,1.0
The Murder That Never ...,5411,1.0
The Most Perfect Thing: ...,4296,1.0
The Mindfulness and Acceptance ...,2389,1.0
The Life-Changing Magic of ...,1677,1.0
The Inefficiency Assassin: Time ...,2059,1.0
The Gutsy Girl: Escapades ...,3713,1.0
The Electric Pencil: Drawings ...,5606,1.0
The Death of Humanity: ...,5811,1.0
The Bulletproof Diet: Lose ...,4905,1.0
The Art Forger,4076,1.0
The Age of Genius: ...,1973,1.0
The Activist's Tao Te ...,3224,1.0
Spark Joy: An Illustrated ...,4183,1.0
Soul Reader,3958,1.0
Security,3925,1.0
"Saga, Volume 6 (Saga ...",2502,1.0
"Saga, Volume 5 (Saga ...",5104,1.0
Reskilling America: Learning to ...,1983,1.0
"Rat Queens, Vol. 3: ...",5040,1.0
"Princess Jellyfish 2-in-1 Omnibus, ...",1361,1.0
Princess Between Worlds (Wide-Awake ...,1334,1.0
"Pop Gun War, Volume ...",1897,1.0
"Political Suicide: Missteps, Peccadilloes, ...",3628,1.0
Patience,1016,1.0
"Outcast, Vol. 1: A ...",1544,1.0
orange: The Complete Collection ...,4841,1.0
Online Marketing for Busy ...,4635,1.0
On a Midnight Clear,1407,1.0
Obsidian (Lux #1),1486,1.0
My Paris Kitchen: Recipes ...,3337,1.0
Masks and Shadows,5640,1.0
Mama Tried: Traditional Italian ...,1402,1.0
"Lumberjanes, Vol. 2: Friendship ...",4691,1.0
"Lumberjanes, Vol. 1: Beware ...",4561,1.0
Lumberjanes Vol. 3: A ...,1992,1.0
"Layered: Baking, Building, and ...",4011,1.0
Judo: Seven Steps to ...,5390,1.0
Join,3567,1.0
In the Country We ...,2200,1.0
