pagina,titulo,precio_gbp,rating,disponibilidad,url,_id
1,A Light in the Attic,51.77,3,In stock,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,69e22aa1592ad4126cde8ccb
1,Tipping the Velvet,53.74,1,In stock,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,69e22aa1592ad4126cde8ccc
1,Soumission,50.1,1,In stock,https://books.toscrape.com/catalogue/soumission_998/index.html,69e22aa1592ad4126cde8ccd
1,Sharp Objects,47.82,4,In stock,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,69e22aa2592ad4126cde8cce
1,Sapiens: A Brief History of Humankind,54.23,5,In stock,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,69e22aa2592ad4126cde8ccf
1,The Requiem Red,22.65,1,In stock,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,69e22aa2592ad4126cde8cd0
1,The Dirty Little Secrets of Getting Your Dream Job,33.34,4,In stock,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,69e22aa2592ad4126cde8cd1
1,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,In stock,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,69e22aa2592ad4126cde8cd2
1,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,In stock,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,69e22aa3592ad4126cde8cd3
1,The Black Maria,52.15,1,In stock,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,69e22aa3592ad4126cde8cd4
1,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,In stock,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,69e22aa4592ad4126cde8cd5
1,Shakespeare's Sonnets,20.66,4,In stock,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,69e22aa4592ad4126cde8cd6
1,Set Me Free,17.46,5,In stock,https://books.toscrape.com/catalogue/set-me-free_988/index.html,69e22aa5592ad4126cde8cd7
1,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,In stock,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,69e22aa5592ad4126cde8cd8
1,Rip it Up and Start Again,35.02,5,In stock,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,69e22aa6592ad4126cde8cd9
1,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,In stock,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,69e22aa6592ad4126cde8cda
1,Olio,23.88,1,In stock,https://books.toscrape.com/catalogue/olio_984/index.html,69e22aa7592ad4126cde8cdb
