producto_id,titulo,marca,precio_actual,precio_original,descuento_porcentaje,tiene_descuento,url,imagen_url,pagina,fecha_scraping,grupo,responsable,categoria
MLC1923719923,Audifonos 4ta Generación Compatibles Con iPhone/android Color Blanco,,14990,,0,False,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=wK6hbjyWN5LuSSgajveD6qoDiVyFsFJU%2F89x%2FDeIGMrksEQi%2BFRaZa%2BX%2Fau5AwcVk6nNCEN%2FgiFXTmYRB9UmEvOm%2FFy4V67LJUR3itoicy73n%2BwIFhtbAW9y33jCyY1%2FtMGx15glZ3zoKq2sX%2BinlfXXfBlUr%2F5pLkCPRwEIALSQ8tMrvFg9jL0ELqtCnIz1asqDLjRwvMRqpWsuNAsbjeMURdQi2urI0jJkwnJGB2CFbAbQAUnDq2m199KbhzIj2ajMNLJH06QGsNtMXhIToinPd1gm8Wj94G%2BXZb4eXu46Rvg%2FZlMg8s2K6weG%2F7%2FNn99vOgCqoDgxbaOXcUgHrcksneS%2Fu%2Fqt1S6lck0Q%2Bb93B3Q6FiZ77qBU5VvD1qkt%2F%2FMnOFjki1gY8bLJY5PRwu4O5e4dwO%2B5ZJ%2BJRIHsith7POLQBz4kTrHmf9waiZuCj5zUtziiqWMS70afmvhmxXvORn16PEZnc0pO%2BNA2zI4SlAkxQCSUBgBrir4ObVFKJ05NcIZTszBcusRGpPDJgKn4fPshLbfTa52eZ8YflYQDlAZd5scf%2Bco1Jbl2sIhnQYaRjZpmOmBpLLiPhE0afpjLV3JT04M6zdAvF6ZwJt8NTkr8k8qZRZSE9mhsEQG%2FvE7zvhSM8FNSB746i7iCc0MVwXEQCouYqjmIXh2lWO4Lhhs85tjyobrIZdRiB4FJbOdRiuK73bu1j%2FWWx1BvF78TjMjUbQTpqFKUXlLfXvG%2Fv0ABpSp9vb7Hu1msqMmUUaWRGGsrq6GCeVmVJSPJDuTXy1dash3GtOsP4TCRqNXt1vtBj2hePJx53J8FeDWHEdIZSChiNfpTeA87V8mFU2KiytI3SiiccvJJDWJBRSnpVdGg9tRP3PECIXX64xc%2FFeEjubX2PrUFCt%2Ft4F336qMrKyMtI2J%2BlmbwKiB8bjKTKwLKaw3myYxMVp%2F5MByeoESD56yqGZnvIVESzUkDcyp9iiv8EMHZ77TMrMjTuDfJvMHl1kZSgX5awwkxak9PXMEfuA%3D%3D&pdp_filters=item_id%3AMLC1923719923#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC61332479&backend_model=search-backend&be_origin=backend&search_layout=grid&position=1&type=pad&tracking_id=973f3754-0ba6-471b-bba0-015bf744bea8&wid=MLC1923719923&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_605039-MLA96508849001_102025-E.webp,1,2026-04-29T05:28:53.229511,E-Commerce,Ariel Peña,auriculares
MLC1636668851,In Ear Monitoreo Rs Er2020 De Oido Sistema Bluetooth 2canale,,205640,250780.0,17,True,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=ZbnPPnGa7aECNcGPILwB2iCW%2BncabbmvBa0V7hokyfXzQe3fs34ylkwxBzEWa4F60d9EtiPW5KFkBRff1TXa4FwMzxKngfy0hES5YpvPo8TGnNynUJzny4h7YZc8fImJU1tx9uloG59y5y6uREouOWqvBJ9I80aE4yEd8ySb6rPzary8vVNBzI1u9s2KHgqlq17W2qYu8Ji1decU%2Fw9JZ0U%2F%2BuFUdHXhxf7TOpVoQvho8h3PJL4xN7sKPSbb0NdoiiozPuVeUxVuiIFH0KIU2WlxYAIzMcwGR9wJVWOpWkkZrZABmP%2Fs%2BU5vZfmiVjoW3CgSdbnXTFJ9IYf2pOTIyLXhYVZKsX8yD6bhTbaW%2BawVGLI6OZRn2IEHNCfEbiXcmTwG5o%2BeDSRFV26zqOlMHMPKiz%2BXg8Re8mB9ZhLbjf7dFTwHjv1SSrGdb7eCbzzvy74C08uLspfDTL3Lza8wrKBAFjajF9hwBwBNobwVKac1hVHyfhxXYkXitVQiWCAV8re2kcbd%2F0YoX7UGnxHvvGNbGa1xDkMxwX09GHBv%2B%2FtzDOKvG4aBvL8A6CXhEdfmcMELG3ijyWl0IP0UUD9z3WDG3wqaRGwNvyNcsR4iiegZ39iNpuAsVz%2FpUqhQA6rf7WPmKlpsPyW7CpXrG4fL122IoZsA0vvDVi2QpEHONS6JMlsCCR%2FFfBUYuBcBgkdAQWRUfni4XDQUGrmP8zpJmVNPM5RqEj8tWDqx2UQZFX4v2%2BWhXq1Ju%2Bk9X%2Bts%2BMXEigucyAkIl07xKA%2BQj2ta4G%2Be8NBDgkcOJWg%2FoxQgTD4f3BGql0Bcios%2BjgIsG3gZk6pqVouXHAGXc0X1P5PXUAVe1%2B57d8kOjDVYSdT50%2FTuk%2B3MGbb3Is8qnmvi3kgkL8PDv6ACYJfmii%2FFttVj8C96LMTtzhTI8oxRRe6KEIgwUnJUF5S%2F5y6bneEIpgRTP5sfEdPy8Ep4RU9ql%2FofSXt8YgEe3fNBvz5Uxw6PemyqQS0yrYgC1LzhqvvX&pdp_filters=item_id%3AMLC1636668851#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC51911158&backend_model=search-backend&be_origin=backend&search_layout=grid&position=2&type=pad&tracking_id=973f3754-0ba6-471b-bba0-015bf744bea8&wid=MLC1636668851&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_723862-MLA99465778806_112025-E.webp,1,2026-04-29T05:28:53.229511,E-Commerce,Ariel Peña,auriculares
MLC1552199168,Audífonos Sony WI-C100 Inalámbricos YY2957 Color Azul,Sony,20990,25990.0,19,True,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=j%2BXY2mg3Lqz6wZok%2FwcmAhzWu2NBCNN7I5Q8mO3pzqg6nluc3fGgr5Y68FfXSmHAZNK2j9%2B8KLpLQ2B8BPeqtkynMVVfo3X4zQ1kPFRB%2BpLtwz0gv0c8aOGU5bRTzJSeHLbY09NFPDPK4XpO7q7fQMiyra9yW6qVArm%2FjDS0IKbEWvNjTbFpNJQKkd%2BfFDQeEPvwk2%2FXAwzllMTHJZlo2SRMVYXE0ItBOJhYykbjmJuTV6Za6%2Ff1bQGsOo3Sm79DGKp23GQPRrHZJNZmSSs%2B8hbQCF0E5JSXElSGCYghDf1E4IPVuYN2y%2FwL48UhcE6ueZR55uUucfXT8afPbmA3L%2B%2F1qjV5eE0ikWV2S29OwDM%2BWwmP6CYXnniI72uvvatDPIsTEp5apPSYfB8m2c5UG1w%2BK%2F8A%2BtUUEU8x0dd80I6VdtCSRPCVVgc1vMx%2FIlGGUqbPsOdotoATKODLc9syDqApIvEwqCVTKnQU%2B%2FVNy%2FVgUVVTuAoNJ9BW1DPbuhbbSTnsSHZlQQlNEw8l8pvNADG7VrER%2BhnCSPEtdeVlgwrAV2h9Ocn9DG0bN4d9jw7NPE6JTWeDNBb40%2Bf%2F6DE3zdOZOOvnkF1LVMBXsQ6%2Fpt6%2FZ4k5ZtLJpUqq%2FGvkA08Er8YCR59NxmXvuPo5q3iVSuSblcdR%2B%2B%2FndNZyam9HIQ%2F3UbDHeZOWDx4y4j%2FvTJTF%2FT%2FENMa%2FtcjC6LjjoheQbBYUW21W%2FnPlD0FBCUBCr7RmBy7hRLAG5nxdUpunn1gEYePkd%2B8eGllPTnw9yndb6OaUJp3rgKNmZCmebeAS3OytUdKsNzXDtDX%2BVefeXhjnmo6tXJTny0WOSDLYIoZblKU5vaGOFqwtlT%2B28jkxp%2B4kk8shQFMoEDVGyby1Z%2BWqmtVvtTWtdp25JY4no9%2F6pRdc7QJtK0WjtEAi7sqNsRjqrpkOFfy%2FxyK1b2E8meq7aXduik2uNpXvuW9PhvkJWqKvVjYstzXRF5NeY%2BSM8AYZamQx&pdp_filters=item_id%3AMLC1552199168#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC26990277&backend_model=search-backend&be_origin=backend&search_layout=grid&position=3&type=pad&tracking_id=973f3754-0ba6-471b-bba0-015bf744bea8&wid=MLC1552199168&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_791154-MLA99991829629_112025-E.webp,1,2026-04-29T05:28:53.229511,E-Commerce,Ariel Peña,auriculares
MLC2078136560,Audifonos Bluetooth Deportivos Para Conducción - Aiwa AW-ACF1 - Color Negro,,21990,39990.0,45,True,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=IKyQX5IOqE8TIuNSJlBKFXDLIy%2FygN2R125rfD8Xd9aUDEbxfnvxPq4Yme53uVvqaHsX9UVTwmeiSytDLdSbyuX73CXfLFZaG8t5L9t6ipcngVyHMDhSSV4EE6naUPLRXEB9oBj0Iq49SFoxbnc05V1IJJDi80J%2FkiNZtOkq%2FBisOu1Zuy%2BQzHqVKUTKy99PoE1jSed0z6hqIN2zy5%2BlkaOmbRKrkpLYddCQiB4sfMC9nUII1KXjRPBc9IT6A8W0JQEK%2Fm%2BmbtnYlAbILW9g6QlAyWnUaazPMIukjxGH3GYuyD2nwftZhqAmsatn2KMAvo8tkq%2F3LUeecrZNA9QYN5kAGmeCc3ZwLT89CxxC%2FWMAsDu2rDkTgdoAR6N7THN4zd1lFD2l7rn9EaCmFuQ80SDI4JprTIzP3bmGQsVhgAffnx6Fir%2Bj3p6GTw0h5bEFvg3ZgD0QUNkDMAGDy3heHJng9eOlp6hvWtjU5d6xXc4u%2Bq7oMLJKV3OfplItVbn1ZaoIR7bDSTsJVvt0pLKdd3y%2Bd5nHW3uMb5%2FFr%2FZTRqBR7MLClIIIvgM9XeO1Mn9m%2BnECreP%2FB4hvKysyq6wXJK%2F5WEhtI9OpzgsRgDfoA7AyJGSVk0xXYZq0Vc7gkg%2BMRYn8%2Fx7HS8UJcdfwBrb9XPhzQmWtYKewG5OCuHRxzro6vShEcX8ZuaLpdfdJ%2Bek%2FHLS2ajUU10Nb5w%2BxzdlkNO%2F7uVUyBWZyQUMCrLLh3xv63tUiItLt%2FmcnvGqmXxxIGECLLEL3v5Q%2BhiLjoGrZ%2BlbDDuikL%2B6ByfIw8x5yeSJ2T3Quw1EUk1SDABwu9aP9ykPGqnGoXmhUzdH9NdeYZTUJBHNBinUJAxH7gB3vuNv0Ygrohf3Ls8reMbneLzKaaQwSbh8JoGAALWOj2xWf4wvh%2Foc3X1N%2F52etX4abSaZmzl34g3roce9XTo%2FGRXkakEVq23jFnYNnLPnd8BcX1RbjUpzz3T30Duarg2W4%2B6CrEKjzxbRO%2BKnc9vpe6tDFz3izgkXXkWo%3D&pdp_filters=item_id%3AMLC2078136560#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC27890949&backend_model=search-backend&be_origin=backend&search_layout=grid&position=4&type=pad&tracking_id=973f3754-0ba6-471b-bba0-015bf744bea8&wid=MLC2078136560&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_790629-MLA99935523735_112025-E.webp,1,2026-04-29T05:28:53.229511,E-Commerce,Ariel Peña,auriculares
MLC18593258,Auricular in-ear inalámbrico YYK-520 negro,,10590,15990.0,33,True,https://www.mercadolibre.cl/auricular-in-ear-inalambrico-yyk-520-negro/p/MLC18593258#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=5&type=product&tracking_id=973f3754-0ba6-471b-bba0-015bf744bea8&wid=MLC953897529&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_822394-MLU77740936283_072024-E.webp,1,2026-04-29T05:28:53.229511,E-Commerce,Ariel Peña,auriculares
MLC54500865,Audifonos Bluetooth Blik Air950 Cancelación De Ruido 40 Hrs Negro,,19980,39990.0,50,True,https://www.mercadolibre.cl/audifonos-bluetooth-blik-air950-cancelacion-de-ruido-40-hrs-negro/p/MLC54500865#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=6&type=product&tracking_id=973f3754-0ba6-471b-bba0-015bf744bea8&wid=MLC3115663488&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_951487-MLA100052681221_122025-E.webp,1,2026-04-29T05:28:53.229511,E-Commerce,Ariel Peña,auriculares
MLC22448503,Audifonos Hyperx Cloud Stinger Core 2 Negro,Hyperx,36128,59990.0,39,True,https://www.mercadolibre.cl/audifonos-hyperx-cloud-stinger-core-2-negro/p/MLC22448503#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=7&type=product&tracking_id=973f3754-0ba6-471b-bba0-015bf744bea8&wid=MLC1388523181&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_798099-MLA110627075299_042026-E.webp,1,2026-04-29T05:28:53.229511,E-Commerce,Ariel Peña,auriculares
MLC1782330239,Audífonos Inalámbricos Compatible Con Air Pods Pro 2,,24990,34990.0,28,True,https://www.mercadolibre.cl/audifonos-inalambricos-compatible-con-air-pods-pro-2/up/MLCU3663964863#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=8&type=product&tracking_id=973f3754-0ba6-471b-bba0-015bf744bea8&wid=MLC1782330239&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_881053-MLC100952060585_122025-E.webp,1,2026-04-29T05:28:53.229511,E-Commerce,Ariel Peña,auriculares
MLC54318632,Audifonos Bluetooth Inalámbricos Blik Air500 Negro,,12990,19990.0,45,True,https://www.mercadolibre.cl/audifonos-bluetooth-inalambricos-blik-air500-negro/p/MLC54318632#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=9&type=product&tracking_id=973f3754-0ba6-471b-bba0-015bf744bea8&wid=MLC1792783895&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_865867-MLA104907623422_012026-E.webp,1,2026-04-29T05:28:53.229511,E-Commerce,Ariel Peña,auriculares
MLC51011158,Audífonos Bluetooth Noise Cancelling Wh-1000xm6 Negro Sony,Sony,359990,449990.0,20,True,https://www.mercadolibre.cl/audifonos-bluetooth-noise-cancelling-wh-1000xm6-negro-sony/p/MLC51011158#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=10&type=product&tracking_id=973f3754-0ba6-471b-bba0-015bf744bea8&wid=MLC1624408157&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_723439-MLA99481242716_112025-E.webp,1,2026-04-29T05:28:53.229511,E-Commerce,Ariel Peña,auriculares
