variable_nombre,variable_valor,status
A Light in the Attic,5177,1.0
Tipping the Velvet,5374,1.0
Soumission,5010,1.0
Sharp Objects,4782,1.0
Sapiens: A Brief History of Humankind,5423,1.0
The Requiem Red,2265,1.0
The Dirty Little Secrets of Getting Your Dream Job,3334,1.0
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",1793,1.0
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,2260,1.0
The Black Maria,5215,1.0
"Starving Hearts (Triangular Trade Trilogy, #1)",1399,1.0
Shakespeare's Sonnets,2066,1.0
Set Me Free,1746,1.0
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5229,1.0
Rip it Up and Start Again,3502,1.0
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",5725,1.0
Olio,2388,1.0
Mesaerion: The Best Science Fiction Stories 1800-1849,3759,1.0
Libertarianism for Beginners,5133,1.0
It's Only the Himalayas,4517,1.0
In Her Wake,1284,1.0
How Music Works,3732,1.0
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",3052,1.0
Chase Me (Paris Nights #2),2527,1.0
Black Dust,3453,1.0
Birdsong: A Story in Pictures,5464,1.0
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,2250,1.0
Aladdin and His Wonderful Lamp,5313,1.0
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,4030,1.0
Wall and Piece,4418,1.0
The Four Agreements: A Practical Guide to Personal Freedom,1766,1.0
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3105,1.0
The Elephant Tree,2382,1.0
The Bear and the Piano,3689,1.0
Sophie's World,1594,1.0
Penny Maybe,3329,1.0
Maude (1883-1993):She Grew Up with the country,1802,1.0
"In a Dark, Dark Wood",1963,1.0
Behind Closed Doors,5222,1.0
You can't bury them all: Poems,3363,1.0
Slow States of Collapse: Poems,5731,1.0
Reasons to Stay Alive,2641,1.0
Private Paris (Private #10),4761,1.0
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,2311,1.0
Without Borders (Wanderlove #1),4507,1.0
When We Collided,3177,1.0
"We Love You, Charlie Freeman",5027,1.0
Untitled Collection: Sabbath Poems 2014,1427,1.0
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",4418,1.0
Unicorn Tracks,1878,1.0
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",2552,1.0
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),1628,1.0
