variable_nombre,variable_valor,status
Compañía multinacional de Servicios...,,1.0
El Grupo Komatsu Cummins es una empresa...,,1.0
🔍 ¡Buscamos Asesor/a HSEQ con fuerte...,,1.0
Empresa de la segunda región enfocada...,,1.0
¿Quiénes somos? ME Elecmetal es una...,,1.0
"En Linde , importante empresa multinacional...",,1.0
"Compañía Minera Glencore Lomas Bayas,...",,1.0
"Compañía Minera Glencore Lomas Bayas,...",,1.0
"Nuestro cliente, Capstone Copper, requiere...",,1.0
📍 ANTOFAGASTA Importante empresa del...,,1.0
"Somos más de 100 mil personas que, día...",,1.0
"Únete a FCAB , empresa líder en transporte...",,1.0
En J.E.J Ingeniería nos encontramos...,,1.0
"Somos más de 100 mil personas que, día...",,1.0
Importante multinacional del rubro...,,1.0
