producto_id,titulo,marca,precio_actual,precio_original,descuento_porcentaje,tiene_descuento,url,imagen_url,pagina,fecha_scraping,grupo,responsable,categoria
MLC1923719923,Audifonos 4ta Generación Compatibles Con iPhone/android Color Blanco,,14990,,0,False,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=QPwKEGDhRn6HIX2YPbtNzd247fWv4r5fu02V9Fvd749vn4Zw5j7fMf2NTBsF3uV4zcgtRu5arzrPP3%2BSBdKJyPyqSVj5fNDOSrBPjxMLrIj1jcOKi61hWwcv4AT9zG1zB4dhswTLvz3tAK6CJ2dAk%2FS2s%2BpfpIkp2RrVU4bnCmVw9vH6NJwgLMycvb04NvB9sT5XkKlO8d4qhokfJcAHwJ0RWDjG2RACOIFz3Qf3Lm0djEpaiGZOqsNj4CFj3TnnM8QnibZoDVmxMRW2eJDRfhW%2FUpvmQYyI8Udooxejk7yK92NDyBQQRCpqnVtUidY4JugvOFjaNTmproXuMFPukQ0YeseRbvKGaU4hTtZ%2FaKY3wh4%2FP33VqGqqLrM0sWBLhfXufLkurnukcJfWSXOIQ2YFCq59STbFw4DsYebwSP%2F1qGDCJt8xIQ9ipZyyrZQFP7d%2BMaAPyiLKYphX7xzuQmPC1n4bOPli9u1BKkBwl6H5mG1wGhWvblhcggJokeCjgKuw2BysQ4TJL7IELIvDe78rw2%2Fw9J4YSaWD4e42VoSP6437kloHKX%2FfiWCSJJcWq8NzAcWLNKQHRBnorhTM168Fuovr%2BSqtU8V6roa0vqptSgb8w3nXCTspG54X9IKZs5ryL1iMxE6nkdPmJXbJ77kfCCrCEfJf%2Bad6G%2Bht0x%2BH%2BsAwYdTgowkgg21fVEj%2FLFvJPJCL9irzOR2%2FPA9K%2BGtEUiMpZNDQv6XULFL6pb%2Fp3e5Pmj8eLL1W5GyPcF51NbFfn0Nb8Tbhihn476RjFHr88rnMBOu9ieC%2Fsj30EIqLDIStGfZbj7055f3p8n4E9GP0Ty%2BSwSa%2FAxcas0vV0bfrIVPzVEPQtxKvPTGg5LO4Mpc%2B6B3zOXhX7MkyHTDsrubr4F23vHE16THUJTb1PMT5m6Yb8ZuyWT9o60wGoDEcDfjiUQGZg62cIXvh8bSKkOS80lm2cbmucPCUZ9GGWNsvyh3g16525pSSPg2KFDqaMfZUGmBtEEdSHgAtcRDofrpDaCA%3D&pdp_filters=item_id%3AMLC1923719923#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC61332479&backend_model=search-backend&be_origin=backend&search_layout=grid&position=1&type=pad&tracking_id=4df27a50-65c8-4783-be44-3b121f597e10&wid=MLC1923719923&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_605039-MLA96508849001_102025-E.webp,1,2026-04-29T05:28:53.229511,E-Commerce,Ariel Peña,auriculares
MLC1636668851,In Ear Monitoreo Rs Er2020 De Oido Sistema Bluetooth 2canale,,205640,250780.0,17,True,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=hm%2FpzGKVFJcF5xiu00uwKYUJpJdKi4RaW6EmdAeuAvJ985WcDMhxeHZDwbSMoshSvA5Nnm7U0zqJ4g16KfkeSqUvrRpSWJ8TaZoLZrNiPdfT5kN01X6qjSDETiYma4yVWQtyuAtdmUg7DWZBstoXgD3XZYtyf1ruAgfjBhSBhYi78YEfSA%2BpAsjqDHGu2ohGs%2B3J5lH5BCImUGn9WmsILzseA1vT6sWQ4qOk%2FtBDwgcoYUrK91zV%2F15GhxGUL9hOhYvkkB2r%2BQbAbZ7sXtPw4l7HahjS8mhK3aP%2FCMekSjOLXwhKd8dPGFHWw55oMej%2FqVWhM6lY5wYd69fcOWzTkUXB2c7JuIhbGEtVulbesv0%2F8TwwwtvphaFHRUbGoe3l5GeOmpJrjjGS4ylvDJUMBC9jgy45LV0e%2BmJWfrcfaxo1UqmUnLkbGQelcnXDPW156LU4ZX9hhc7bfh4UCAXFbq07zjVvdIadr6GwIaXXUv2KscE%2FxDavW8C%2FHpmw7L7PvYiL0PU4xHpmfIbfpwA20EhdEd2%2B9poPy9qOKUHO837xlhPaNqG0eIasaNHTzptPMTYoTkGttZkIpRdsHRWe%2B4fY%2F2zy%2FHQkFaFnFkp3BPO2rAAyqb6ef78EMJFaaZEnFMJcL%2F9mGSVoCzwWREhSiR8npsMW9GJC1%2BUHDHfmgBfgOwTRm0vxZNx7IEG5Lf36MYb3jYMii3WJYfBa1YPe0J%2BHeNCo%2B8rH%2F2JjgIgxY0GjT45Y6iz9NbFC%2Fd0HQqCFtkRlov189lO8H0f8EhEJB089t96VEEpO6BTyTJs4%2Bx3HXe3FuBUgLoryDsWWop1TWTbPBN3cK%2BvH8avEmWxL9VXmJIYXN4SUP4Am1p7r9BxpAuYY2cqAssh96KqxWdfKsh5SM3sWa2xhMcc7LbCH%2FAwQQRqJrwzuWxof66FJ3KTlIlt%2Fm1vQhTrstGbuXFpmmScbsC2sF2BjIZpk%2BwbGsM1C6SPQpIqJtd5FkXTbRXas2m%2BnpThNvJY1YCA%3D&pdp_filters=item_id%3AMLC1636668851#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC51911158&backend_model=search-backend&be_origin=backend&search_layout=grid&position=2&type=pad&tracking_id=4df27a50-65c8-4783-be44-3b121f597e10&wid=MLC1636668851&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_723862-MLA99465778806_112025-E.webp,1,2026-04-29T05:28:53.229511,E-Commerce,Ariel Peña,auriculares
MLC2078136560,Audifonos Bluetooth Deportivos Para Conducción - Aiwa AW-ACF1 - Color Negro,,21990,39990.0,45,True,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=MkfQ9SVzJ9CwuDgJAMN6mCfuN%2BQsRgea7%2Fn5EJHED1JjdgJJfgPK0bNkj4foRwfoQdwTC49NJq3v1578lPaQsKHBkDZ70isjTjEZbgWZKy%2BO4lCH8uRC4%2B%2B02mA2XM%2BWRPlPdNkeCKSktm8Yr3uBJQYBE6emnwF0dvugp%2Bhd9h%2BH4X8zj7PHO9kywEHGe0ook1APfEcXU1Ntyj5df39bDis7DAW4SZqQZFScgUCRtiokvPBQmtjxdR31ecKR%2FGe%2FVYogqENh2EU%2FogZw7C0y%2Fa%2BCqTpi%2BUVquIWVUqEMDFIBsQvyGn9jOJBjRWnEOtO%2Flfnnuf9%2Fp8IT2DV0IMjhfEk8qsMwHz6px74HZ31zLCfMLUDtv4c4h7poRiVCuBDaShAxLvkQbbD8shnHm0n2IBFuUbkDb3xhhxoatRdbE6bYoPlM2n5FiGzjH5XoM%2Bx8zb8OJbqGrpX0f4AKc1J5CJ5ZXIhVB4usQM6OkbAX9g4engk2No8z%2FIKEAvZnYehHSQtvrnIqjqZ1a%2F5YPmhwa5yPbAlpEiaBNmx7lR5sfJDXK%2Bb6WxPsSkBsjTmt%2FD1emxeBkqooTCRFRQtUPN0z7NJ9FHMXfIcBwzyEe33kzp18gV3cxM5Rstlg3%2BM2lRh0I8P5rK00IS8zpGOQmJzbvm9OghQPo59KjZg4GXpjLBgSMz3td%2F3oZ8sK30oSwir4T6PihNhm91gZqvzzgfcB4SQmD8%2Fkie%2FlK0UmaRk8G5hhTOpRWhZfReON6E78h29bsqlg8%2BlpG%2BewfGmITFmTL%2FwLjW1DhkN83Ylm%2Fg%2FVBEpiQL5AZCVAMgtgDOtZKsWC2cZZTWKNxOxjGFFF0YTvfZqNIA%2BeE93sEWfN2l4PGYL7Gd2gr1TAPAsZPtaB4b8elRA8IYSAB3TpKcitp1B78GdMJkhsl1rYuG3FuvnYwe9jJEQRa10ttGmETaFEIkXcTpKyLhUzMuNcCNkKRxDrF8IdcwC%2FnsB7TKzIJ53tS7IBAT8HVJB868KjTdTHdifkjWA35U02&pdp_filters=item_id%3AMLC2078136560#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC27890949&backend_model=search-backend&be_origin=backend&search_layout=grid&position=3&type=pad&tracking_id=4df27a50-65c8-4783-be44-3b121f597e10&wid=MLC2078136560&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_790629-MLA99935523735_112025-E.webp,1,2026-04-29T05:28:53.229511,E-Commerce,Ariel Peña,auriculares
MLC2967613338,Jbl Tune 310 Blanco,Jbl,14990,19990.0,25,True,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=rl%2B2%2B5x0B0C9FAxFPH5SlsmRIfLSNoRuSoD9EhCbcL2jkXGEMTY37vtnS6Hw4FVWwdvwGORBf1i%2B7FPtLgJO5fSAHTjEmg9M9yih9L8NNlIeieBTxrb0rm5UEyCqqO1UhKxkHgODH9VCg7dADeOUiiwUOaMgg39XTgbyMZWo%2B%2F98FqrRm0dinMmnxviDcRh21ukblN3vgaqi0idB3Q5ekf8vcWeLfz8O9y%2FYaL3jCxRGZV%2Br3x5Om80oxxoHUi80eGWbnWw3HgM0TYt982qQUuTYIhhEq6I9iu1p9jsQtu9EealnrhZ1jJ2g9k3WJ5nXmYVIhPDqbDXm6ngwOvOIfd5GJSunoDBLxXhEN8agP9nalofpultTP8o5JRpo05qy486yfuVHQG4cO7%2ByptbvoAdpmmgIApGyAQxUMyRxDitwmxzv1D6VNF7x9MeB2MwEmt8nhVIbtOdmzWctRETWgdLqINuxHweSZfVWM483UPmtVO5AfFaZ4%2BEpys2oHRlbq8UizkzMusR%2BLzfOVoF%2BtyQsZ9YsUupMGYeLGYJ3MzxNI0%2FEhhOvpdijgp8b%2BaR33Gpvr6PQ4qrTWkV8t3mlLOgIO6JR39keiIorOtxl%2BAdX5pDzSZrIqSpu0jkHsX9fjQbpi1GsYxMA%2BfOwYd9ra33OiY2S8Gks%2FinYn3gwypnRaTUJy5oc%2BGBuP%2BSp9efZtZQtNSMDYdpA0gT7QCupFHy0xg%2FSxBZsy1w2bkIFYb46%2BOXYxFjwnv4Hao7oOMCrEGiy4aaEUeg8YoSkx8F%2BcCRS7M0UHclzFfB40Dvia5u97KSKlxPnARmkRuZGPYY%2FZljzvq8XpxWEygKXegOAGHN8m4osbO3znEOELHTU6%2BreF3zP%2BVcr7BJPUVAXjiUzgjBBcel5peA0Uoa6tDkqinL%2FfW1vqPINyiTZuCydcr4Vj8fBmbN7JNLWgk%2Fg1w9%2BS8k%3D&pdp_filters=item_id%3AMLC2967613338#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC41693739&backend_model=search-backend&be_origin=backend&search_layout=grid&position=4&type=pad&tracking_id=4df27a50-65c8-4783-be44-3b121f597e10&wid=MLC2967613338&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_615773-MLA99429901144_112025-E.webp,1,2026-04-29T05:28:53.229511,E-Commerce,Ariel Peña,auriculares
MLC18593258,Auricular in-ear inalámbrico YYK-520 negro,,10590,15990.0,33,True,https://www.mercadolibre.cl/auricular-in-ear-inalambrico-yyk-520-negro/p/MLC18593258#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=5&type=product&tracking_id=4df27a50-65c8-4783-be44-3b121f597e10&wid=MLC953897529&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_822394-MLU77740936283_072024-E.webp,1,2026-04-29T05:28:53.229511,E-Commerce,Ariel Peña,auriculares
MLC54500865,Audifonos Bluetooth Blik Air950 Cancelación De Ruido 40 Hrs Negro,,19980,39990.0,50,True,https://www.mercadolibre.cl/audifonos-bluetooth-blik-air950-cancelacion-de-ruido-40-hrs-negro/p/MLC54500865#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=6&type=product&tracking_id=4df27a50-65c8-4783-be44-3b121f597e10&wid=MLC3115663488&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_951487-MLA100052681221_122025-E.webp,1,2026-04-29T05:28:53.229511,E-Commerce,Ariel Peña,auriculares
MLC22448503,Audifonos Hyperx Cloud Stinger Core 2 Negro,Hyperx,36128,59990.0,39,True,https://www.mercadolibre.cl/audifonos-hyperx-cloud-stinger-core-2-negro/p/MLC22448503#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=7&type=product&tracking_id=4df27a50-65c8-4783-be44-3b121f597e10&wid=MLC1388523181&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_798099-MLA110627075299_042026-E.webp,1,2026-04-29T05:28:53.229511,E-Commerce,Ariel Peña,auriculares
MLC1782330239,Audífonos Inalámbricos Compatible Con Air Pods Pro 2,,24990,34990.0,28,True,https://www.mercadolibre.cl/audifonos-inalambricos-compatible-con-air-pods-pro-2/up/MLCU3663964863#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=8&type=product&tracking_id=4df27a50-65c8-4783-be44-3b121f597e10&wid=MLC1782330239&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_881053-MLC100952060585_122025-E.webp,1,2026-04-29T05:28:53.229511,E-Commerce,Ariel Peña,auriculares
MLC54318632,Audifonos Bluetooth Inalámbricos Blik Air500 Negro,,12990,19990.0,45,True,https://www.mercadolibre.cl/audifonos-bluetooth-inalambricos-blik-air500-negro/p/MLC54318632#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=9&type=product&tracking_id=4df27a50-65c8-4783-be44-3b121f597e10&wid=MLC1792783895&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_865867-MLA104907623422_012026-E.webp,1,2026-04-29T05:28:53.229511,E-Commerce,Ariel Peña,auriculares
MLC51011158,Audífonos Bluetooth Noise Cancelling Wh-1000xm6 Negro Sony,Sony,359990,449990.0,20,True,https://www.mercadolibre.cl/audifonos-bluetooth-noise-cancelling-wh-1000xm6-negro-sony/p/MLC51011158#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=10&type=product&tracking_id=4df27a50-65c8-4783-be44-3b121f597e10&wid=MLC1624408157&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_723439-MLA99481242716_112025-E.webp,1,2026-04-29T05:28:53.229511,E-Commerce,Ariel Peña,auriculares
