producto_id,titulo,marca,precio_actual,precio_original,descuento_porcentaje,tiene_descuento,url,imagen_url,pagina,fecha_scraping,grupo,responsable,categoria
MLC3014284672,Horno Freidora De Aire Telefunken 30lts Aerofryer 300 Negro,Telefunken,109990,,0,False,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=0YEEEGNLexX6HXbbvm4MVJcet6YoLsSVxWXhndSHihCoTaVsE4U3v0vEByPh3kjUNk3kS0d1%2B23RiCLUC9atmgXcLgtdbZ%2FM01UYuQlojj3riWYc0zMap4AAM4gNLqxXrPUfPK5HTQun%2BoYJKin2yoJ2CbChgSIcMMfcAuaE%2FlTgGwLE9WdwKEerSUcVbQj6Ti8jl0hfrQJzX1NslonqkPIHr4uq%2FZYteFs7yORAa7ZewoxLFHVvYj6hEpRT59hGWEXfEgn35ISjfn1VMmK%2BSPRMY%2F8rSfnBRvuVgVczO1PjjfhonRNBU9SfIxkJviZfQD6WufG1CVLwNM6l%2BITYLX%2BmtL0NDZ01mUto62BzNfd9kUWklfJWmkRcgjsG3A9zxI6FiFcR3Q7GjMnTT%2Bz%2BHj5CfmXHZeitnilHnHsCFb2NIwiIS%2Bp9dznbHP5YmXAN83MgOGbWjOGqOjmXJz3Lq2YUJxQ8W9Ao8oSY1rnm2uNtn6CoeMSdYwCIYK52B0bbPLyNavu2aizcLXw2DQNS0Znu9TZ1K0VbbsqsYrTyiQL2pHp7hscoUZGEk8ZRwo8TUGB0hhyS1DBGnRJdlz67ny971jlwEPG16TtA1%2BVWUqUANAtB3e4u7aYiwUrxr1GwzCfO0QXWzqhElN%2BKBNBiMB5zjh1vjuqKA1CRZTu9IW0N5J%2FM0dcY6Vb3u6UPwqyofsRBytKwFYFcCtI83TMwWaz0aZhcYUM5WBhP6okp%2Bi2dyTOOafCROIIi4Uox4C8QxYO1Jarw9wDy55z%2FAIpObbz9jnDn2E9Mtf6uWq3OA8aNCTA16KjsbqjxqwwGy4e6%2B3nx80i5p82Pj9pVBLgVB4%2FaVhyt7PP8haFpp6v%2Bv%2BnmOugiDQViJ5DtBD3NGJPJPG6h%2FsvZmbJwgvRHgMslkiWp6yUxYewt7sY18HaYRKVVh5DjEzbkM3WC2wnSkBwqpeb4cMFs1Bne4jJ2vIBlEqz3tNQmTmQTaub0bVZtBU7nztqAUReDkz1RPjxw&pdp_filters=item_id%3AMLC3014284672#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC53532459&backend_model=search-backend&be_origin=backend&search_layout=grid&position=1&type=pad&tracking_id=9af03450-be0a-48fc-a765-a8940d25467a&wid=MLC3014284672&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_978320-MLA99389913790_112025-E.webp,1,2026-04-29T23:14:58.898474,E-Commerce,Mayra Gutierrez,Hornos
MLC1593323361,Horno Freidora De Aire Air Fryer Gourmet Pro 20 L Easyways Color Gris,,115990,184990.0,37,True,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=WPXqKurGH4lA8UzvfIrnDigxr5tbS2cR8yDFzNTktK5E0chOF4Y6ZpCuCMeEswlyYDItKLeSyQzvQ2G7%2Bwa40BJo21zRN1ioT%2FV0TUCG9%2B%2BDzQ9Ym5zGrGOQA1C4G2A2CaS%2BOIhAo%2Fib%2BMirnhJBcP4eakO17cA6ITNUR8QSjkZiMvqjh2mqc560hlrWFuFh8T3hx8EYT1yKNuXSXvJUGRd5XJ0eKZmCSCREKge0HcKuYxFlq19tiOakb0ZOrcjpF8pWp6tzyfvAR9Ii1uQz5KUCwb16A7X10Qds3avJbtOiZ6LZ0uQswfstINwtNcK2YF0nre9g4a9vAg%2FDHWUaPET3TmQaa6OjQ8XpdBEs5XTlT5fYgO5EXUbfVG1v%2B9Xr0IDspY1rEB1QI8z7CndA5UktQ06xjNLcKbedtLIwYPLXXMpWwYWNoljeScNhF6pRwwECqnmqn6dTwM30NxFvWbJmVuBLjVmo4O5Qs8kmhiQ1tH7vGKqEITovNeSEycmZo8tvTMP80qBtxRg6Kvat4%2Fn86h4ncedEYuOroAzaUkWpq3fzg44ZMhdFoBA%2FDwhpqVlfp67%2FTUC2v%2BKZgurdJWlk%2BF48DL76mRuvmtwrTmA1F8RFYz17RA1oNxxJGiMBL5dcmfGIG%2BbI4FqMmvoZx4a5OP35%2Beh81MVaET7vcc4tEGKlcado4c0%2FJLccU5bypTkmti15xILfUQUvsQ2xHFzAlWI3n9yEXdtsBG%2FKXVURvwa5gdD9r0hSPKPS6mXbxA6HhKXv8GrYgW8%2FBaJZmeRo7BT2m%2Fgxxr6zGdULYorKNiYC0cYtlqBgiYvkW5ZJOOlppAolFyUvZ5aqYrwrZCH6nxew1Y%2F1ilD1kiq%2FRiQacR6aGtOljCTvIfhJIS4i1dCgG5%2BvqgE6Ramyj9%2FN%2F%2BbEPkV5v77nNf70YvpoHBpd%2FDvTLp2FkweoSYamYLSL7vY5D5C5X1V51QOM0nfRcB67trsv21CRV%2B0O%2BGNPwP5fSfHz30mBmyJ3m0GU7EQuWkpuFVnY&pdp_filters=item_id%3AMLC1593323361#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC45285110&backend_model=search-backend&be_origin=backend&search_layout=grid&position=2&type=pad&tracking_id=9af03450-be0a-48fc-a765-a8940d25467a&wid=MLC1593323361&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_607970-MLA109742409283_032026-E.webp,1,2026-04-29T23:14:58.898474,E-Commerce,Mayra Gutierrez,Hornos
MLC1748263997,Horno Freidora De Aire Full Edition 24 En 1 - 15l Kitchen-it - Negro,Kitchen-it,89990,159990.0,43,True,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=CEJsUrBo5Yq2yAsSnNaABb07N%2F5bQzS9nFx1gMX3fk3zg%2BtMGgwSqH53azCfmIbuQ14AX3bxw0B2EcR2IEbz%2FHCr4thqmNaIGighwoWmMhXdoUfUw0jCnLxrB4AnOQAWn1azU8wWPlE2zUyAAnHJ%2FTsSpsnfEgLHOvtAk0onDeoquYs4McsCuPJzl63eb2J%2FO89UcB0HdGSlankTW64pDWdZJYNI0FUJ6ZNPagTrHrm%2BlSG72EYi954o5u9ek9iLQVqAEQo5T5HvlRLx6fYtKzYUJAcpQ%2BOKk%2BCs4XT1YMSGOhnPNiyJU%2F1KwNsgS0G3kHiILSDva0IsRHiSqnUPsM5v5UvU8dUB5dVzRih%2Bga%2Bm1mypLqknSkZR1tt%2Fh8F0ynxq%2BJRXmmGkygFa3twSr3VlpQN803VvXpBWWdERLcJ%2BCxAjwYwk8siZvx2oHbQExqjjznYWlPAJLKs%2BaoSl6%2Fi%2BK8pONI18oORcBLdYQVb9j59lSBgXXjwoa9OIY9uFmowyq2i7Ple3%2BRIEMfrzE9nYmf6utesrBJ%2BzmWUqtv6ztKvHr4y3mWb2SvhNOJYz85GvpbxcOC8U1i7zGeGPTwmyJ7gG85WcpCBAaYTNFZcqmEKtv4U%2BSmdVaUIe12BOJf7KGvaYlYvdLp2VN4MKAC8jfR7LBBzjC3k96v6vMdKPdTCQgrSOr42qz7Az48Hy%2B8cBGkkNXWE80vc1ziTBOpdDLzLhqcRiHfh%2BNb0UcPy7FYJT3%2FkNmn44EgIqiCYe98G8k5hIrQAaLgpLDlfMm%2BI5a0NfBFqaCcDnURbljVLIeMIhvUQb2zfV7E5iRd2fBONmkc4JtygGNq2qmP4sD1ndyBAzkinQpb3K9dLclR8P8e9SXaHgAug3bG7TwrjBNEBf1913CgUWj5XXN1TSVYdgOlhYbTf%2Fq%2BENQo6iy0y9iHAeAeun2dzaD5T03LEw%2BMZJwypm5zf0i3MN4brQGwPkgKj2KqqCnnjxo7c8QgEj9DBJh3Vmq1as63UNlh2bGg%3D%3D&pdp_filters=item_id%3AMLC1748263997#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC61974280&backend_model=search-backend&be_origin=backend&search_layout=grid&position=3&type=pad&tracking_id=9af03450-be0a-48fc-a765-a8940d25467a&wid=MLC1748263997&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_963960-MLA97742146635_112025-E.webp,1,2026-04-29T23:14:58.898474,E-Commerce,Mayra Gutierrez,Hornos
MLC2415775026,Freidora De Aire Horno Nura Nr-af12l 12l Digital 1.7kw,Nura,69999,,0,False,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=8jHYOoTUGdheMuGjWRj2CN3qc1x2N3OqkQkm57%2FCR3Xj1xVWx2pmYmlRa1kivJerrlbhxcfFZYEggt8x1hhq%2B1QZutoGWauIxoywDmgjV7Fds5gT6scnEyNZt5ert%2BYlBvXLGVz4t0Bm2qD6QzUO1tOCK5QcgzOVvfcvtWvQT2DfabnUJeaoKO8hS5SMfi9QZdMLRXNzR4V6qQ4Pgmi9eITLbgd%2BYX0jULxsxDURiOgyfhHdE7Ss0j0zzI9ILRvQB7R511eu4EyemlW5OMACtEigOis1NBk5QGnhSpgRBLrBFhVLWEIJ2uQw5xFnZHi5fw5i3PxJir4iS1kJdSlr0tTyqjGoOEkTnwgjh9oHfManbOwsvAIDawc%2F4btrGnSZNsR1HPIhVQnQlqo0MWVaCSWXXeiHuIJbbXLk7EHdvFeAPoDfIaQiPXHAfAQgdYqNWcMPGGdKyZtYv6OvS7kf6wr%2FiMjqufBm%2BlH8OQDVRJI%2BuTGVnwTIM7Jc8mbAQvSedBo1gALCr03RL4Q0hThDFjdV5tRmAKE1Y3tpWxMDk7xbpFDmTXEAHaXnNq3%2FgDmM4tw1s30fhvmdGlqOJGZJnaVA40GmMpjdSgmUNlSoBzTZcjcy0xIecYpx%2FSwj5y5eOq2e8WnK0HQpXLxxoimhD1wh1NW4A3Aw67SSXxTsCC4YhYz%2Fmv0ODK061ExXIJieMPDXVB1Hb5dBp1wd0%2BniEj4mLwE2PkNVHr2eqKaD%2B%2F4YBMzE%2BD%2Fvo%2BgeUbeMnCVfMDYs63s%2BuQDpDR6%2BWna4tcGxSyTwIimColLyLMhF6tM881m7Ru20iAqNgI5NnMwwOQb1JlbTWSersaRjd1W%2BszgwAICJrp17q0DfsE14f6znkf1eFdzXHi7E8S67AdOLO96vWVo1oyu6%2FFE5LEmHU%2B8r1QDRUgODfOqAsBURI6eCl3njK0WS9klgw24LnNkq7VyL12g9o2ckghSJeZeUwPd7SQUlw3ZjF3qMJ%2BIvL8vO2o%2BlNxXLmvMb%2Fw%3D%3D&pdp_filters=item_id%3AMLC2415775026#polycard_client=search-desktop&is_advertising=true&searchVariation=MLCU367499584&backend_model=search-backend&be_origin=backend&search_layout=grid&position=4&type=pad&tracking_id=9af03450-be0a-48fc-a765-a8940d25467a&wid=MLC2415775026&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_830522-MLC96059583428_102025-E.webp,1,2026-04-29T23:14:58.898474,E-Commerce,Mayra Gutierrez,Hornos
MLC2069266288,Horno Tostador Blackdecker Crisp N Bake Pro 4 Rebanadas Air,Blackdecker,102071,151826.0,32,True,https://www.mercadolibre.cl/horno-tostador-blackdecker-crisp-n-bake-pro-4-rebanadas-air/p/MLC2069266288#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=5&type=product&tracking_id=9af03450-be0a-48fc-a765-a8940d25467a&wid=MLC3553240432&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_835004-CBT104726375140_012026-E.webp,1,2026-04-29T23:14:58.898474,E-Commerce,Mayra Gutierrez,Hornos
MLC61974280,Horno Freidora De Aire Full Edition 24 En 1 - 15l Kitchen-it - Negro,Kitchen-it,89990,159990.0,43,True,https://www.mercadolibre.cl/horno-freidora-de-aire-full-edition-24-en-1-15l-kitchen-it-negro/p/MLC61974280#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=6&type=product&tracking_id=9af03450-be0a-48fc-a765-a8940d25467a&wid=MLC1748263997&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_963960-MLA97742146635_112025-E.webp,1,2026-04-29T23:14:58.898474,E-Commerce,Mayra Gutierrez,Hornos
MLC1869266256,Máquina De Desayuno Horno Cafetera 3 En 1 Plancha Tostador,,43000,,0,False,https://www.mercadolibre.cl/maquina-de-desayuno-horno-cafetera-3-en-1-plancha-tostador/up/MLCU31807562#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=7&type=product&tracking_id=9af03450-be0a-48fc-a765-a8940d25467a&wid=MLC1869266256&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_899472-MLC92704352449_092025-E.webp,1,2026-04-29T23:14:58.898474,E-Commerce,Mayra Gutierrez,Hornos
MLC38674668,Horno Freidora De Aire Telefunken 12lts Aerofryer 120 Negro,Telefunken,62990,89990.0,30,True,https://www.mercadolibre.cl/horno-freidora-de-aire-telefunken-12lts-aerofryer-120-negro/p/MLC38674668#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=8&type=product&tracking_id=9af03450-be0a-48fc-a765-a8940d25467a&wid=MLC3004915290&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_924800-MLA99508300538_112025-E.webp,1,2026-04-29T23:14:58.898474,E-Commerce,Mayra Gutierrez,Hornos
MLC45751772,Freidora Sin Aceite Nappo Digital 13l 1700w Multifunción,Nappo,67990,229990.0,70,True,https://www.mercadolibre.cl/freidora-sin-aceite-nappo-digital-13l-1700w-multifuncion/p/MLC45751772#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=9&type=product&tracking_id=9af03450-be0a-48fc-a765-a8940d25467a&wid=MLC3415749190&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_705111-MLA82424777511_022025-E.webp,1,2026-04-29T23:14:58.898474,E-Commerce,Mayra Gutierrez,Hornos
MLC64405743,Freidora De Aire Y Horno De Pizza Osoji 12 Lts Air Fryer Blanco,Osoji,139990,219990.0,36,True,https://www.mercadolibre.cl/freidora-de-aire-y-horno-de-pizza-osoji-12-lts-air-fryer-blanco/p/MLC64405743#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=10&type=product&tracking_id=9af03450-be0a-48fc-a765-a8940d25467a&wid=MLC1829142275&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_643031-MLA104538101996_012026-E.webp,1,2026-04-29T23:14:58.898474,E-Commerce,Mayra Gutierrez,Hornos
