producto_id,titulo,marca,precio_actual,precio_original,descuento_porcentaje,tiene_descuento,url,imagen_url,pagina,fecha_scraping,grupo,responsable,categoria
MLC1797201493,HP Azul Pentium N200 128GB Ufs 4GB Ram Pantalla 15.6 HD Intel Uhd Graphics Incluye Windows 11 Instalado Laptop Blue Fd0082 Con Regalo,HP,221218,790085.0,72,True,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=xu7eFxrDXgOqPT6XwDTzR0jOJkCK4quufCtS81q3kqEYyytx%2BfVh7RbvE9eAF6gp0AGaTQ4%2BWtuLKuvLeo7pWUjMQvIz5k3hVaI2CZ5iP%2FjNBNYsXEZwSkqHqM6OX5VsHoyfSinzeDH5pmVCVE%2Bhudbws4hMLTjal3gr0Rw6JtzK0%2FADQa%2Bfci7M0ZX3wRU2UHqHirmzb2jGGuR0MtGLcc9erVjLqTyHHA8wc1Ym6T5g4Zjfw7SSuBElP3W0gO5AvZ15njQ22%2B%2BjGDRgZyrCxA7j1oDu7ApozrGC4d389horfZqH2NZ%2FnKi8HbD18T6qfw%2BIS%2B%2B1s0geyPVm9lK4BHu9%2FE%2FrvwqjBEJ4MuVzcqBNASfbajvtAHmW1AcmmDFBk7b9w%2Bfrlo9cLWoyWby0qhCakvWt%2FhVPAjWt22Xu92x4LwE5HGDvYX0OZhpCp7J8d%2BDi0eKYTSW6GfSH%2BC4VDdSlYA2%2FLpY1E31jb6AVfUiAKAopT1K2Rzpah80CWj7V%2B9mJ9XdtUK%2BQ9R5cGXEYOgdnSdHwQwf3ilnAh5vO9ZgM%2BUU6lwdigNCMMPfFfVjS9lVOTffyVWQ41nzEtSrjL%2B6TNDkqGjrsLIqCiiNYxWNcbHCUJD2jig6n95R5IXaidFJv%2F7t0mCO4rNdPNyh70Su4Z%2FRA%2F2PNKStzB2ypvc%2BlN3iH%2B5J%2Fl%2F8cGKeiMKQX9laQn8WvydmCDyfKKSx%2Be5kkMmmXJiyn7tcVat6hP0KUhnN2xoTlw2pf2tymTrcHqQTG2CJ1os03FOuVYnaxbRICTSDsKOVfEBnCz2%2F7z4i5X6J2egbIqZUTL8Jc6p1jxen%2BbQlrOvAaO2wT8na7s2isNugH8RSeP6zN%2FtRxE9sFu26A2yoVA4%2FTQ5eaUPpWkrHBpeAYs8SBSz0lqdKnB6kKuFhKi42T2EHMAyqpLMFQft7cT0KpkLmLuMCO5JCgEtI%2FN2vcGRWJo%2FoZpwe6qcdcclwHbw%2BABdHYzR0%2BqQ0%2BwhbQ2iNzWxqUEuJhuphARm2Xa4Xw8diKm%2F%2F4LsjOWZMikJ3rkRms13R37aGuP8A6UDXpoGfJQggUxXAfX4UGqkd%2FWnRM2IolQeCJFVAofV6Aog%3D%3D&pdp_filters=item_id%3AMLC1797201493#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC63081442&backend_model=search-backend&be_origin=backend&search_layout=grid&position=1&type=pad&tracking_id=028cdd17-cf32-408e-8b5a-af24cfc6d269&wid=MLC1797201493&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_771431-MLA109454573718_042026-E.webp,1,2026-04-28T19:48:49.335682,E-Commerce,Luis Molina,laptops
MLC3547472778,Lenovo Ideapad Ryzen Ai 350 16GB RAM 1TB SSD Optimizada Con Inteligencia Artificial Pantalla Táctil 16 Wuxga 1920 X 1200 Amd Radeon Graphics Incluye Windows 11 Instalado Laptop 83HY001KUS Con Regalo,Lenovo,628650,1309698.0,52,True,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=2bLPc2Tu6DEdTiDXtPJiJVywCrVv%2FT8WiVCaBBruNbuyWX7URR7RVKUA84xOJK%2FC5AaMdna5Hr3R602vWs8Ev1h8MI280r8BskKDov6V1qACyY7wdsUS17ysUtQFnlN%2BXrKNxFF6rwrt%2BmY0oa94Zncef7k150%2B6e0mHiDAWZ9BYABxuTYlo%2Frvhz2CKJU5fYxRyaj1XTwla8dyHnEvlClpog1dRIKK9Ozg%2Be7uOgDwbcYvyp1G5v7w4ZjUOLT1yBOjG4xGo9hvpQCPNVDDlNLgJxlePN3Ip7I%2BKnEiH3QEf4lb0K%2FJX7YLqsFx0c3nniFWZuof8IU4c4pYB%2FkOhoE9sxNqbHIABwFgP01V2%2BOX0mF36b5ehesTGUmKSb%2F5fL7olHDIb%2BU%2BtZLlnU8wr6ozWF%2FcvW3B%2FgcZl%2FQspSD1WJckq%2BbPyfIIi5Ybi0ShlpVuItblQTIQCoZ5NHnQ2kyFwlE0f1hK9ydPPjwsrEwQNZxxfel13bLK4C3qLeqMo1IcXkY%2BlZSPmx9szQsHtKUYjuRhLPjz%2F%2FY7HvndB7N16AYpDsZbfI5kT1FGboWyN8%2BoG7MrYJVv%2Bl8w5566oykoAcTYVdw%2FJhROrf9uJ%2FZmR4DAkDxzUBppc9StvCZ78vUjOkQxfwPQVh9gtQ%2BcXCqj3u8MuU8WAII7LMwbv4k%2BKZPzea9%2FOtkQUkrj5esKpbGyQUpey0pfZAzJxQ%2BKwjFjez3vnlJLF9gdwP9pTpYSIytSHhFXB60mWYgoC5W06hPjalLuYjf3Baa8bgzRqTcJKmwB%2BOqRzcWk92vl4rt3OxFfXzlq92HHvMiMuxJDMUUY5lVB4haK3vwSjnXGLrCLHxT7sq%2Fj8ZT1z6yxHwNJSAL%2FLqDofILa6mK050tAJjjoRnA2qTVAInMQUIJDWZrtKFENU%2BoKyLcMW95l1H73k6Q0XWst6w768VlKpveA7M9a4VnLuF%2F5bbnKjk0H1nJl8k967Pj9HsUNyV0TPHtgwNdPudK9zeZ9eXZqBbC4rUq4kywglaYJSjyBYKnSKo2lKbBHQ44qERrvkM0%2FliEVh7ZENA9tnsQirmlz0tlOp8Jao0qH8baSt5eMYT5Td4ypu19XiJc0kbu%2FdTL4b%2Ft%2FMiXbwm9VeG1nRGYjtIqbzdMts5NzTd3X%2BbKIYxCRrZITLo1zuzwoZTmsVJyUjm7t4GIbvtw%3D%3D&pdp_filters=item_id%3AMLC3547472778#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC65041456&backend_model=search-backend&be_origin=backend&search_layout=grid&position=2&type=pad&tracking_id=028cdd17-cf32-408e-8b5a-af24cfc6d269&wid=MLC3547472778&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_985758-MLA106089527887_012026-E.webp,1,2026-04-28T19:48:49.335682,E-Commerce,Luis Molina,laptops
MLC3360999632,HP Pink Stream 14-EP2011 Intel N150 4 GB Ram 128GB Ufs Incluye Windows 11 Instalado Pantalla 14 Laptop Rosa Con Regalo,HP,218139,330519.0,34,True,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=SCfLznlIsfyYGKvVc54Tsp0EjpiMVHNQ8xrH3PdjDpJBuAu4%2BkXZ%2Bpqk6Qvc9ClCA86yay3GCIWjsw9N%2FKQihi4MRPEq68q7lLM7q9OBavGmSyBoKDTbPpR2sfpqrk5FMKFZhWJmqmm545w4n7oi70JUqkS5Y%2B4g%2FZ4be5ifkCWFt3FBvgDFqx9zLT3Ir923xyApqmZnXni9VkC8fF4Rv8lFkASUaoGq7DYXWdOoT%2BQzX%2BxnGJCRa12jiHU5NcazWiiErpa2jwCOH%2BVz5Was8cWCzZc94bs0U0tGG1MTY%2BZfOeY8l0W10Lze1QD%2FkjFnxJHSoblSecNXINGC4w3lFdAqTZMU0oIHn6aQJaJBfjVRS0PP6H4X3nDT63ExZ%2FmtIeG8bxHZMEpWUZkGpb1GwCOUiXlq0xCs%2Bjtgtyq%2BbO%2B0iHTY7Kl5ECKb440NPa8rAz5hVOOP2FHKUqKZ2SeQ7p23i2PJtmYwt%2BkGVQ4c0uElbywLDms1dM4jgi%2BQHzVI6S0nlDYCTzo7bE6qaUODLBMz5Tkp4J3UN0rahJPpeYMW6TfaIkNSqzdFyOanLfMGnDqVwDNUCezn9HH6pxxqtw1uRqsDR94kbIj3VgMiyKSNvLb7CzxsH2cFVRUZnm4xfwa4J7yVMWysNtx1S%2FKbSTPUdxs9%2FJvW6K5S6ZC87G%2BG7bD1DtN7hRYhC7TlsOJc5I%2FvxL5rPReD4fE5AgbWBl5mq4FzMqIaHBucFUR3C%2FFxbMPYYqurC2k9OKOSeZJo8m8TFxOHleNmYeXOAaEnKUzoexnMhDu%2FEkqwvMRlErBYBM0lS73a2trUgeLrumMdxKiS1Ph9cIx01EJayhHGW5xeNXvOuiq8bf3SJzKpyPn4vkKFOaFYO1H54ybdaBcyn5oVt5y8eKqXx%2FQoE9qPX6mKEceBzkW53Czs3FHqyJVsrFHDj7JAUXAAYO3C%2BCMmEiRbC7H7RZHwT2w8%2BLDcR%2BfB%2Bx%2BisnCWd9DY3C0CGqmACQ53Btgf2XRUIk70Op4s%2Fq3ouP7eOoXXKIQfWAWiZ8vgNeVm0Vym%2ByKweKwmP8OCUdm1PynMM5Jykqlqm3GSaVR6Ktk%3D&pdp_filters=item_id%3AMLC3360999632#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC53196537&backend_model=search-backend&be_origin=backend&search_layout=grid&position=3&type=pad&tracking_id=028cdd17-cf32-408e-8b5a-af24cfc6d269&wid=MLC3360999632&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_779898-MLA110320007649_042026-E.webp,1,2026-04-28T19:48:49.335682,E-Commerce,Luis Molina,laptops
MLC3613532812,HP Rose Intel N150 128 GB Ufs 4 GB Ram Pantalla 14 HD Intel Uhd Graphics Incluye Windows Instalado Laptop rosa Dq6015 Con regalo,HP,208157,612237.0,66,True,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=DQpIdTxROJvagBz2k6Xx3ZJPkht578Wn%2FUMZUYMBgk%2BlQlevG%2FCAtF1H8WSBYxGGpgDC3jPRR9AsWE3jvhf9PTKUB%2FtNCsIGB5pGfGAwTVVfBD7eVjBQghNkV33KILZ7ufsbG6%2FFXkSsz84QcLaooIWxoU8mp5ln%2BuaOYi8fFiXjeIXpVY9DZ0598vB6LO4e66HC1KDXmQo00o1l9eTt4yuGNWCOfC82iwKJZuulJWXkoVSKGJwPDCQrSpJnWYgxub004LIPJJa6MOJ9dn3XJlm4cKMvoXsUfFSqj%2Ff1BmGHpvsIZ6IhrzHf5oJbColjdgzmu1LbWXpPl%2BnMzTO8DW7A5Do%2Bp0rdT%2BN5cgaC8cgo0F7uWdmZRFBjB98HSsgz6xUH2vLnUzD5O4knzAKNJPrWBKHyB6xXbfc6k4YNgsa0MQiGrv6bLmASicjKO6xQMm5p0%2Fn9wDHrvuwPCmHcEduGO8xrc65AN3FZLgvaxCWTs18jQIwHEKPb88qevPBQC9eru8EOeXeH4I%2Fs7dfqVdySRO4oJXUI%2Bi%2BDBbQHVfo1Yzjuwaz2mqVV01u%2BLXXoIgBKP4ztqijUMQXLgzXT%2BuDgsLRb1z9%2FezczbydIidgcAyHll9%2BhJ1VrpQS%2BFrRjbg5jnX9aUpB%2BiWwFT%2B1XYefTL88rYGTdCC6JViYKZbhufilJYpy6ZBjE3DGyElDsHwvpIIco%2B5Rps7qfH9YzpNVAMDOBjOrzOCjmme0pVgYTclKWmTI1XwblSTswKmAPKHrR1ML7xSQEKpuwEDnBl2aDJnfG5yjA3fVFOLASP53pb1IXUY3ZEum%2FvqmvqRL3niJeDPEgy8eVN80hAZ%2FjlQSxz3eMrXt2qjXZjtVTwC7XmvAROeRDbz5a1N3GW17QnykKUONGJQiIbjfZ5Uw5213WkbsvHTTQVCHisyBgXnF6392pkYaTu2VVu1bhthTfEoFy9YvA2rLz6kJmsOUd99My%2FdNDVKAHGdm8KlQsbaOi%2BIzVRnTAOTKEF6p2bJezGNBoHVjETmAk2oq9nylTamL3nRGABDrdiF9JMgGWpoq92n1OE8Snu4IBaWpuPOTljhXNZvCKSwwIkzaPhKQ%3D&pdp_filters=item_id%3AMLC3613532812#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC65818321&backend_model=search-backend&be_origin=backend&search_layout=grid&position=4&type=pad&tracking_id=028cdd17-cf32-408e-8b5a-af24cfc6d269&wid=MLC3613532812&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_829718-MLA107453224857_022026-E.webp,1,2026-04-28T19:48:49.335682,E-Commerce,Luis Molina,laptops
MLC37551852,Notebook Hp 15-fc0070la Amd Ryzen 5 16gb Ram 512gb Ssd Windows 11 Home,Hp,649990,769990.0,15,True,https://www.mercadolibre.cl/notebook-hp-15-fc0070la-amd-ryzen-5-16gb-ram-512gb-ssd-windows-11-home/p/MLC37551852#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=5&type=product&tracking_id=028cdd17-cf32-408e-8b5a-af24cfc6d269&wid=MLC1727183587&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_730159-MLA96495043109_102025-E.webp,1,2026-04-28T19:48:49.335682,E-Commerce,Luis Molina,laptops
MLC37622609,Notebook Hp 15-fc0043la AMD Ryzen 3 8GB RAM 512GB SSSD Windows 11 Home,Hp,419990,579990.0,27,True,https://www.mercadolibre.cl/notebook-hp-15-fc0043la-amd-ryzen-3-8gb-ram-512gb-sssd-windows-11-home/p/MLC37622609#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=6&type=product&tracking_id=028cdd17-cf32-408e-8b5a-af24cfc6d269&wid=MLC3384775180&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_766401-MLA103889060963_012026-E.webp,1,2026-04-28T19:48:49.335682,E-Commerce,Luis Molina,laptops
MLC1066172675,"Apple 2026 Macbook Neo (de 13 Pulgadas, Chip A16 Pro De Apple Con Cpu De 6 Núcleos Y Gpu De 5 Núcleos, 8gb Memoria Unificada, 256 gb) - Rosa Rubor - Distribuidor Autorizado",Apple,649990,,0,False,https://www.mercadolibre.cl/apple-2026-macbook-neo-de-13-pulgadas-chip-a16-pro-de-apple-con-cpu-de-6-nucleos-y-gpu-de-5-nucleos-8gb-memoria-unificada-256gb-rosa-rubor-distribuidor-autorizado/p/MLC1066172675#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=7&type=product&tracking_id=028cdd17-cf32-408e-8b5a-af24cfc6d269&wid=MLC3719743194&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_670654-MLA107397642550_032026-E.webp,1,2026-04-28T19:48:49.335682,E-Commerce,Luis Molina,laptops
MLC1066172744,"Macbook Neo De 13 Pulgadas: Chip A18 Pro De Apple Con Cpu De 6 Núcleos Y Gpu De 5 Núcleos, Magic keyboard Con Touch id, 512 gb Ssd - Rosa Rubor - Distribuidor Autorizado",Macbook,749990,,0,False,https://www.mercadolibre.cl/macbook-neo-de-13-pulgadas-chip-a18-pro-de-apple-con-cpu-de-6-nucleos-y-gpu-de-5-nucleos-magickeyboard-con-touchid-512gb-ssd-rosa-rubor-distribuidor-autorizado/p/MLC1066172744#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=8&type=product&tracking_id=028cdd17-cf32-408e-8b5a-af24cfc6d269&wid=MLC3719691998&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_778359-MLA108114356305_032026-E.webp,1,2026-04-28T19:48:49.335682,E-Commerce,Luis Molina,laptops
MLC50009179,Notebook Lenovo Ideapad Slim 3 Gen 10 Core I5 13420h 8g+512g,Lenovo,549990,584990.0,5,True,https://www.mercadolibre.cl/notebook-lenovo-ideapad-slim-3-gen-10-core-i5-13420h-8g512g/p/MLC50009179#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=9&type=product&tracking_id=028cdd17-cf32-408e-8b5a-af24cfc6d269&wid=MLC2902770664&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_751016-MLA99529729928_122025-E.webp,1,2026-04-28T19:48:49.335682,E-Commerce,Luis Molina,laptops
MLC1066172678,"Apple 2026 Macbook Neo (de 13 Pulgadas, Chip A18 Pro De Apple Con Cpu De 6 Núcleos Y Gpu De 5 Núcleos, 8gb Memoria Unificada, 256 gb) - Índigo - Distribuidor Autorizado",Apple,649990,,0,False,https://www.mercadolibre.cl/apple-2026-macbook-neo-de-13-pulgadas-chip-a18-pro-de-apple-con-cpu-de-6-nucleos-y-gpu-de-5-nucleos-8gb-memoria-unificada-256gb-indigo-distribuidor-autorizado/p/MLC1066172678#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=10&type=product&tracking_id=028cdd17-cf32-408e-8b5a-af24cfc6d269&wid=MLC3719666070&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_634656-MLA107398730850_032026-E.webp,1,2026-04-28T19:48:49.335682,E-Commerce,Luis Molina,laptops
