producto_id,titulo,marca,precio_actual,precio_original,descuento_porcentaje,tiene_descuento,url,imagen_url,pagina,fecha_scraping,grupo,responsable
,Teléfono Oppo Reno13 F 5G 12+256GB Morado Smartphone,Teléfono,449990,449990.0,31,True,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=9PBPZDVi1ajdZQWPh3fzT4KGgT8YwNROdS9CnmeoVYbH2M8HH%2ByGsSPqzmTE6H2hEkEJyC2vxmEa3XMGNFmq7vzSvuID5Bmy7tUY5m%2Bq2%2FuLlDauHaVMQWopwB%2FcZ8AuSGFBSKEOAE3gjlMqHifpNyC37arnr3IlFJLsipXXiCWIY6GDDqxRJstWdJ8hwZbM%2Ftt6VUdrB4C8JsvNKHyLgV5bVaesJTI5GhyFfrAPNOoxtxt9oaEcQ5nJP590bpHSsFPoN%2By69shE0L4CmtCXwmNBjIau2piH9PsxORaaL0LwbruSEz9687BnamEGmCjawyZONRRHktRqPZii7S1rWYPRE72kkMVF6Cb35NUOYmcQYx8rFvqveerHumKbOELAL6tFYb2Yd%2BDO78s1sy1sgn197wfkwUO0fh9UYw3ZFUXwal6xnoEP3z0n%2F9U8F01Ft%2FWFtA%2FK1MWe6zTfl7kWZSZ4Tb72aXq%2BcHsThJ08AMv3kmfE%2F8EK%2FavSnP5332WUrTyZ2RjhJ2ai1vBhCeKxSQ2VFPdEIlZH7057B5V9nHBogJ%2FA6tL92B1tlVbxjblb%2BcSz4cHkTip3SxX%2BeaRxSG67s04ocg9bVtZmXP6p%2BWAQ9AGRDc6WsSWhAyhOTdpZih5wWntTnAq%2F1T7aUBJB2iQ625qdmK%2BiCbW%2B6QP%2BISi6fYTj%2BVVPqPurEQEhbj8NBYTBBefOt68sa4KxvPLt6s%2B%2BrTT0Ayjj4C8rPm8jz6LoAzndaE7H%2FG2L0HXxjBSoDATs2gHDUt48e3%2FaZkmxmtuuH1m5iKeBjp1%2BabsujEOwLJ%2BzeCCKqvjnYFVTUSaEnLlSWJHC8%2BNEPjt%2B%2FiEhcvM%2FxFPiJKaXoSFyq0aKPAWVAsfZ44LGgEHuyCroNxQOt0S%2BZgpndgaYNfBmjbxApEz5a%2BaNYKgVWNEBe1yWdShAhxv7g9vKlL4%2B4I8xGHEB8rhyoA34fscmq1%2FoiCU%3D&pdp_filters=item_id%3AMLC1677507405#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC52676293&backend_model=search-backend&be_origin=backend&search_layout=grid&position=1&type=pad&tracking_id=beba876e-4c77-42ae-a395-28e1b10fcf56&wid=MLC1677507405&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_911928-MLA99991511179_112025-E.webp,1,2026-04-23T18:41:09.671618,E-Commerce,Valentina
,Celular Ulefone Armor X32 Pro 5g Dual Sim Teléfono robusto 256 GB Rom 8+8 GB Ram 5.65 Smartphone Android 14 25mp Cámara De Visión Nocturna,Celular,417871,,0,False,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=sD7xgwO0SBp%2Fjb%2FVWfJ%2BpC3qU3JZmBS4ZfurTdkiK9AZDZT2IpfhqCTfCUUhzlTIPhkccYeKtaL6EJ1Z9ohZjrQQgMYEfyyGDL4Wa%2Fl35MeJjE4T5UNEdO84YYWVi3Z0Kypx7hE2khDAkKr1mLHdVdt8waowR4gQ6EANmtMfXwk%2FqWe0rgAHpkqUbjr7lgDa%2BRDVZSOf92LfcgqpR6LIMcbKsr%2FzZyl8fH%2B0%2B67K6WtlSNJP3VooDE25JuyJHdbgud%2FZla5d0dW8BjpBCssRpNVsJ7IQ7NvgLmcbLITVOI45fp51Cert5dXQX2abq%2BqxoETdycyHD1wn2yETyzusn45h2zVoGX%2BMGTBE32Yf%2B0ZzQ4kbOdii2DJIteVO2UMmruHNEddeWjp3JXrQexM%2FbcoARAmveo9Uu8US%2FG94fqW7dtohhr%2BHVNlfVlWxrMhTS4ZnoVbSECvIMzY%2BeBeRNgfKJjuoqRmYEwmScfxXyrZ%2B27aWaUhyTZ6Y%2FDOtwLD4bEpf3Jtk3mOiWJh3Pcm5%2Bxflwk5Dle7MWgNnSwJYMVOZtPUgRxSUgEExiJZNT%2Bl24n5Sr3NVFZb9nYsanJ%2BRpMFKwvKogU0xFxXCljtcmsxoufvSuV3YnxoUsm26Vu2%2Buf%2BNzKbwPQXi7UI6DWoWnJaCwBbFCJjQFq2Qz2tIWcx6nga8V5TnHBKnfx1xFYQ5Ol4ULq2UQnYu1SGnKDhmZUOhHcmAmfSshpnRYfzexaYo2hfBG0P2MrcCPMKVo0%2BzuT7XEX5gPeFcqfp0WLAJxygs%2Fg52DeBok1YBmmdRfT4TJp%2B0xRzCrykgOPGN2AVF3zlHuXtjT08xbVPUrYIMurW%2F4J8X7FfCN9%2FrYnQiefKRPgkmApaY4Lv40he2dzXsyFVcEIMvVOeckAT3gpd6WPsBx3I7pQJFiwyjmqAqe8wPocm6JFpel73sPRnE3y05XprchZndglWTXfUgBrF7SxcyhTHcVODGuu99c%2FaQI%2BIa0sa1X9XaIAmPbYPY6aNdsCTG2YQXbKCYrLl%2F5ZOGVmM%2FMWm%2FHv3%2F2DxvQkIAw5RoqU424pKap0RGKa8Czj1rVr8t&pdp_filters=item_id%3AMLC2930768982#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC51350188&backend_model=search-backend&be_origin=backend&search_layout=grid&position=4&type=pad&tracking_id=beba876e-4c77-42ae-a395-28e1b10fcf56&wid=MLC2930768982&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_843833-MLA99498685528_112025-E.webp,1,2026-04-23T18:41:09.671618,E-Commerce,Valentina
,Celular Ulefone Armor X32 Pro 5g Dual Sim Teléfono robusto 256 GB Rom 8+8 GB Ram 5.65 Smartphone Android 14 25mp Cámara De Visión Nocturna,Celular,417871,,0,False,https://www.mercadolibre.cl/celular-ulefone-armor-x32-pro-5g-dual-sim-telefono-robusto-256-gb-rom-88-gb-ram-565-smartphone-android-14-25mp-camara-de-vision-nocturna/p/MLC51350188#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=5&type=product&tracking_id=beba876e-4c77-42ae-a395-28e1b10fcf56&wid=MLC2930768982&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_843833-MLA99498685528_112025-E.webp,1,2026-04-23T18:41:09.671618,E-Commerce,Valentina
,Celular Xiaomi Redmi Note 15 5g Negro 256 Gb Rom 8 Gb Ram,Celular,349990,349990.0,24,True,https://www.mercadolibre.cl/celular-xiaomi-redmi-note-15-5g-negro-256-gb-rom-8-gb-ram/up/MLCU3739079138#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=6&type=product&tracking_id=beba876e-4c77-42ae-a395-28e1b10fcf56&wid=MLC1827621623&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_906900-MLC108659368732_032026-E.webp,1,2026-04-23T18:41:09.671618,E-Commerce,Valentina
,Teléfono Oppo Reno13 F 5G 12+256GB Morado Smartphone,Teléfono,449990,449990.0,31,True,https://www.mercadolibre.cl/telefono-oppo-reno13-f-5g-12256gb-morado-smartphone/p/MLC52676293#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=7&type=product&tracking_id=beba876e-4c77-42ae-a395-28e1b10fcf56&wid=MLC1677507405&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_911928-MLA99991511179_112025-E.webp,1,2026-04-23T18:41:09.671618,E-Commerce,Valentina
,Teléfono Robusto Celular Ulefone Armor 33 Pro 5g Dual Sim 16+16gb Ram 512gb Rom 25500mah Batería 50mp 64mp Cámara De Visión Nocturna Smartphone,Teléfono,901997,901997.0,48,True,https://www.mercadolibre.cl/telefono-robusto-celular-ulefone-armor-33-pro-5g-dual-sim-1616gb-ram-512gb-rom-25500mah-bateria-50mp-64mp-camara-de-vision-nocturna-smartphone/p/MLC55776819#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=8&type=product&tracking_id=beba876e-4c77-42ae-a395-28e1b10fcf56&wid=MLC3209768544&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_787535-MLA101567150585_122025-E.webp,1,2026-04-23T18:41:09.671618,E-Commerce,Valentina
,"Ulefone Armor 27 Pro 5g 10600 mAh, doble SIM, Android 14, teléfono inteligente robusto, cámara nocturna de 64 megapíxeles, cámara dual de 50 megapíxeles, hasta 24 GB de RAM+256 GB de ROM NFC",Ulefone,531463,531463.0,35,True,https://www.mercadolibre.cl/ulefone-armor-27-pro-5g-10600-mah-doble-sim-android-14-telefono-inteligente-robusto-camara-nocturna-de-64-megapixeles-camara-dual-de-50-megapixeles-hasta-24-gb-de-ram256-gb-de-rom-nfc/p/MLC53175901#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=9&type=product&tracking_id=beba876e-4c77-42ae-a395-28e1b10fcf56&wid=MLC1848262391&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_706816-MLA88462057576_072025-E.webp,1,2026-04-23T18:41:09.671618,E-Commerce,Valentina
,Celular Adulto Mayor Senior Tercera Edad Bt Teléfono,Celular,55000,,0,False,https://www.mercadolibre.cl/celular-adulto-mayor-senior-tercera-edad-bt-telefono/up/MLCU2965142896#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=10&type=product&tracking_id=beba876e-4c77-42ae-a395-28e1b10fcf56&wid=MLC1569327207&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_943768-MLC92296157546_092025-E.webp,1,2026-04-23T18:41:09.671618,E-Commerce,Valentina
,Ulefone Armor X31 Pro 5g Dual Sim Teléfono Resistente Android 15 Smartphone 6.56 16gb Ram 256gb Rom Cámara Nocturna 6050mah Nfc Negro,Ulefone,442510,442510.0,45,True,https://www.mercadolibre.cl/ulefone-armor-x31-pro-5g-dual-sim-telefono-resistente-android-15-smartphone-656-16gb-ram-256gb-rom-camara-nocturna-6050mah-nfc-negro/p/MLC48915655#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=11&type=product&tracking_id=beba876e-4c77-42ae-a395-28e1b10fcf56&wid=MLC3455179472&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_641857-MLA102130571462_122025-E.webp,1,2026-04-23T18:41:09.671618,E-Commerce,Valentina
MLC-3037192742-ulefone-armor-30-pro-5g-telefono-rugged-dual-sim-smartphone-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=12&type=item&tracking_id=beba876e-4c77-42ae-a395-28e1b10fcf56,Ulefone Armor 30 Pro 5g Teléfono Rugged Dual Sim Smartphone,Ulefone,738955,738955.0,40,True,https://articulo.mercadolibre.cl/MLC-3037192742-ulefone-armor-30-pro-5g-telefono-rugged-dual-sim-smartphone-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=12&type=item&tracking_id=beba876e-4c77-42ae-a395-28e1b10fcf56,https://http2.mlstatic.com/D_Q_NP_2X_630749-CBT84700783522_052025-E.webp,1,2026-04-23T18:41:09.671618,E-Commerce,Valentina
