producto_id,titulo,marca,precio_actual,precio_original,descuento_porcentaje,tiene_descuento,url,imagen_url,pagina,fecha_scraping,grupo,responsable,categoria
MLC3618875994,Smart Tv Sharp 40 Full Hd 2t-c40hf2265l,Sharp,174990,219990.0,20,True,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=FKxuFhbsKYMTA4c85Por2HhLSr2Gj3AtJL%2Bra1Yb56xUfYfNfjlaRULmkcFcBdvp0EZxnJC4AVJSG7ELKgIxcjlUrOHMmqs5CVjlWLqfy7vdk2Vp%2FhnGyeOGg2UluzySEv7zofQq7stkyfuqEfriiZ6Ididky2titN0yizuX3KaBbulfztKRBfV0YX%2FvJ40oHbrIw77Igof%2BkwBGNFLJBIzkmOOJ4hRO0TFhfu4bdT6MZxpcYeVdeEw0ODfrqckcAwvZ%2FfE7aIlTamF4FOVeCr82h%2FTjwrNozorcfWG13bE%2FMTC6AscYTebzK4w9OcO1EkpBAVEfztyRMRQ7FjTDepx%2FoiFVE6Zz0b05m67ckNIreTTRa%2FKt8SWDrZ9bgirGuw82t63EvTscwWCLoQdgmcrSdv5CluzKnTlPmhDG0o8mZLxMsnTGq5b0kjCKJbx%2Fc4XQJciF7VT2K5NHRtTw1YFJ54cO3ArIJaFfpLL6vCBlZr%2Fg5vmXUiAhmcUvxH%2B6ZKELQqBpPQY9PtqvtXHP1HyvMiBMxeZRUBmiYQjzutIqjpheBedA3pZDK9VBvSA2hCxJrwW60oUvBwWbq%2FRgSN82Mhn%2FgY6z2rBTW1BB797VpX8JXyYMmDzaG5VX9HRftjgw4uOnhQYU%2BFtkc%2BnRSAzzWPfd0qFLK8YrKzongD3myzAJtz7UkLrpSF8xlorInJOZ4ZMPcuXKnwEorzfPVx8M0OoeO0fCpxKkVHYhTNTP3E9CfGnuccQv9Y4fb%2B0vXxsN6OKAOADUkFU54GYUZi96mt3kIA0DteYxQYcnAN7kYqNIkvQXFJZOob4%2FcZlfQyc9N%2F4Ty9WYlRZ2aeHa3IwyhCmH0HtTfeuMoH3FUefvvuMQKbwBWf7vIaFgqz3nuNRS%2BWePs%2FFh3NmQePfvTHI6M2QgoGJ9u9lE8BErR%2FYI22YKj2wO1W%2BJXADH844Q%2Be4g5dET97OUVZx6g8kb3kXGU72EdeA%3D&pdp_filters=item_id%3AMLC3618875994#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC65812881&backend_model=search-backend&be_origin=backend&search_layout=grid&position=1&type=pad&tracking_id=9f378fbc-f1c5-499c-ada8-b94b04065ae7&wid=MLC3618875994&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_989504-MLA107450311669_022026-E.webp,1,2026-04-30T15:45:32.968405,E-Commerce,Alondra Segovia,televisores
MLC2519699546,"Smart TV LED Caixun Google TV 50"" UHD 4K C50V1UG",Caixun,239990,349990.0,31,True,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=PQXnqZqoZFqeA7sVHcfTu9h2hBk%2FQwjHJBkV2xiufA9vsITFvFmOGBltqbL9OumNWfhoF6rkkIAEpgR%2FW6LWc%2FSENsV%2FMYVX8gUog3ucwsgls5Qv6CHMwqhgrySMS4f%2F%2Fv56jT9l77r8NywSQt4eLrDZJXKEP%2F9OOQSevz0D00Xjtm9W%2FtqLJ6%2F4NK6DLtICHDpLtg26%2ForIDNH0caz8wfq4K59InRJJnzpagvdswybLZmqlc8YceVqxzCQyIIeBcXOjydVeaSG6ENJY01mLhs5J%2BhuybX7bQ%2FC6c8llSGeaV2bdjCehDE8GUorq7Z9%2FOaSh4vLo%2BfibZiYQckAkC3KMLWpjui6fmPQWWBGAIt%2B2X1%2FnKKXtA4sRfjFagg0oFf%2F%2F03e2Ujny5CW%2FB55V9QPMZDKP03j3GR70O8RlfKtXlrDP5joJyBXVeGjLm3Dz1NrigusJL55%2FboxwMc65PX7qCAP2nUGOW7XKO6mmbuxTB19n3doQOfFoPS7Gt2rzR445Q4ISA6BWUlAVdUjem6VHFxvfrfw%2BPmg%2BQk25Qf71x1X20dqCDsDBvB5FPuvjTSO4r%2B7e25vXZmfgQpvFCuOf3bMgd%2Bs6yTBFnMssVcJrVv3DVGQ13XlpDoiO0bFlgxCW9ny9d9NE33Sb5Oy4d5qK4%2Fvgq1EZ4D9YxxkzOv9y%2Fv%2FXC3VrPk7NSepuMrzGEiU5ngtA1QNAs5PrfxfcIHIdK%2BTIf%2FRubxOD%2BSAKgadIA4P6limqCu3seP93QvfV3wFtJjAgEJ7dbvbCmYmx%2BA3TyijS1k9mhBhZRpoqWhiQlz6BWOZKnEc%2FgGD1DW8AuOQM8GWWaOavvmXdmDh5Md3JRzfajbl1tg%2FG3Ly5shyv42W3eZSb49CJPZ2tp4vXIVsUmA%2FgArjkys3pWGOh2Wu1kUZkrau3FAAze57NqJIvU9F8pvfVryc3xDRBV5VZpu%2BHhc6Q4zXHVohGdOuR0moSvnGBoJXt0r0BD%2Fg%3D&pdp_filters=item_id%3AMLC2519699546#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC37848563&backend_model=search-backend&be_origin=backend&search_layout=grid&position=2&type=pad&tracking_id=9f378fbc-f1c5-499c-ada8-b94b04065ae7&wid=MLC2519699546&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_826039-MLA103741288286_012026-E.webp,1,2026-04-30T15:45:32.968405,E-Commerce,Alondra Segovia,televisores
MLC1703350651,Smart Tv Qled 43 43q6qv 4k,,239990,459990.0,47,True,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=SCIipa4DzVDI%2FFgk%2BEB6GiJNhAG6ih%2FgNGRiQfNSN1j2gK5bHbZyLoXoql255qfWqjgw%2Bk4sRwfcBFunbvvOaiHv5ij0PE1ar27NxqM3i23f3Cbh7ZjKQbJQHcNFNdCQOpxTJqoSrGkc0LgfnXiMxTkqHkkYpR5GvwTSCKA0yAy81W7lDz6zexPaEiYxg8vFAo9gxePSVCRTtjqnOGW91S5F0pDpFV56uOhOMcQCTguByxHuSGQS6NKtJBi3U72XIp3qd%2B8ycnfu%2B2SZKueAfDQBv6Sm9rkyO0Bfe37CYRoa6yIlDnTlWXzP6Wi2BeyGCzbCyqv4l6XEd3n4MXFxRPXXJrYhrVHc9hjDGxC5oSr83ru3VjtRQPMDz2ccuUsOJzhrYmzpQH5%2BgFPCdTgGUHmlbcZWmGdzUgNG7osiX06qDMBMV0U4Wn1smP99UDUz1DkgpCOjXf6CYzTrT5SQ3Bi8%2B4F0374riEHa3hRnwd9cqu8wxREQe2cBJdkd2QSHMpd%2BpInAcyMX0UQ7GMhm79JXqZ7IC6N44Vqz4sBDsuopJxCliaV2hpn1WpyI2jjg2zie%2B5hwVvxex168svo1ZnoHmfZjpaKWL8VCyyyGqKu6Mr2jjHhVJiXp6rjNZoxdZGhflMNE0BB93uMry7Ch%2B9T6NVn64sZsUCPJ%2BYDMh8CGR20rBQ0XVNbBKDkWyH0CL8LXSw2qv6HoQcotkeqaa%2BnDae1zDVZ7qeOdpgcEi8nrqESxoruKKiwT793VisDdix11XJKbKQndT8dv78GTooh0CYbDPCE6yIEW4V1pE1MiyqjSP3qVWJ8YkFfMBU%2BXlls%2BkwMRazF07H23E54vS0Mx9q9s%2FSw9bu5rDsDFqUrJaNJcW%2B%2FCws2IF%2FM%2FclXxdnWlF16fL2nXSvB3AvOtL48e%2Biu4d4TpbS7nqOxw7SSNbantiOzU1YhsjSiWxIHj6A7OY6IcuwhS&pdp_filters=item_id%3AMLC1703350651#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC56539717&backend_model=search-backend&be_origin=backend&search_layout=grid&position=3&type=pad&tracking_id=9f378fbc-f1c5-499c-ada8-b94b04065ae7&wid=MLC1703350651&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_951169-MLA98761614831_112025-E.webp,1,2026-04-30T15:45:32.968405,E-Commerce,Alondra Segovia,televisores
MLC1834331633,Smart Tv Hisense Uhd 43A6NV Vidaa 43'' 4K,Hisense,229990,249990.0,8,True,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=2N47kfwAIyZi2BNNqSrltolC6chKweGRLfxNGOg7vc%2F8eU6qt%2BBwY89l7QWzIg9Y%2Bs%2F9sIpz6vCoF4%2FXiDJVbwksLBQtMXp4UcVnCKrxhzhEbD8PZGcDgsYuR2JvK3Vsfh8%2FMxEUKDfhrnxFdsKNDE4IYW7mdaAIbW2wIe6hyCn7LXI0hcgvqX78FfNNap%2BxPvulDtmBusqcqEXAjhoVwDS4LrVny0CI%2FCohcsdmaX4FQ8kamJW6rYmIptdvEUZZDJAly8%2Fa9yvEjCJP0qH8CqmelMbVBIbOTkrvlqnj7ab5RKXXfFV1hznPj7iPJOHhhjHCXBGcUhUj6d3uc7be%2FDrTPuSgLYuKLpAjPAYJJUF54gPA8WxIMdVGfG6Y%2BWjat2xz6y5GRsqELjVVrt2oRgq4u3TQjxSjFQyk5VW7dTBm3ZUPvXTvoMJIxGEBo%2BNtc%2FTuz6gtRBVeZjpe%2FMtlDxAUT4cdmq47mq3WamdgccSLlHmE8nLXs3pBQHHJ6NnsK6msyzrs9bIXqr4hZMx%2BIf60Y5OSEEXH9Lj479qO6GU1ce5aTQK1CZlEPMk%2BEb7lwIl3DAEdUFMGOIXZzL%2FQ%2FwixEYhkoy9GzikZxo3mjqr1nwCkXdUBu0OwTSLoTzLPdfvKdSFnqxWLQLW8CzzoCAhYcRYohjeitnrHhRh%2BFH1JDteDUD4OR9lYUPN%2FIt9ej7IOBv5Usbc3OpAqv6wl%2B2E%2FNTjPqajT1BeuZcAZaAi48RD6FQBfS8iCxxsmn4xzpKb6m1r3XPw3yS4HCgCGSeDkBVrFNVuct6AC0PrQq310Tz%2Fx7y8PXec2xXdcLIm01AyKilaYgn6HguEfezs%2FMuKTmFND%2FRazbxwvgDSMSHNR6CFteV71k8MmbtSQk2U22Fbgzhv6dntyvS0EfZubT0HbUA6F9d47evLb07TqCHnm21J2ybRUOHGXinRANzYXcmYXnEQbxp1%2Bli5YCR4UIMUHE6Ts1Q%3D%3D&pdp_filters=item_id%3AMLC1834331633#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC37845865&backend_model=search-backend&be_origin=backend&search_layout=grid&position=4&type=pad&tracking_id=9f378fbc-f1c5-499c-ada8-b94b04065ae7&wid=MLC1834331633&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_985227-MLA107451763020_032026-E.webp,1,2026-04-30T15:45:32.968405,E-Commerce,Alondra Segovia,televisores
MLC3618893588,Smart Tv Led 43  Google Tv Full Hd Bluetooth Mgg43ffk5,,179990,299990.0,40,True,https://www.mercadolibre.cl/smart-tv-led-43--google-tv-full-hd-bluetooth-mgg43ffk5/up/MLCU3815945226#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=5&type=product&tracking_id=9f378fbc-f1c5-499c-ada8-b94b04065ae7&wid=MLC3618893588&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_642926-MLC107960682729_032026-E.webp,1,2026-04-30T15:45:32.968405,E-Commerce,Alondra Segovia,televisores
MLC51382969,Smart TV 55 TCL 4K UHD 55V6C,TCL,279990,449990.0,37,True,https://www.mercadolibre.cl/smart-tv-55-tcl-4k-uhd-55v6c/p/MLC51382969#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=6&type=product&tracking_id=9f378fbc-f1c5-499c-ada8-b94b04065ae7&wid=MLC2937858864&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_724582-MLA99462530742_112025-E.webp,1,2026-04-30T15:45:32.968405,E-Commerce,Alondra Segovia,televisores
MLC52692041,Smart Tv Iffalcon LED HD 32 S55 Google TV,,119990,199990.0,40,True,https://www.mercadolibre.cl/smart-tv-iffalcon-led-hd-32-s55-google-tv/p/MLC52692041#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=7&type=product&tracking_id=9f378fbc-f1c5-499c-ada8-b94b04065ae7&wid=MLC2978458426&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_765424-MLA98175401890_112025-E.webp,1,2026-04-30T15:45:32.968405,E-Commerce,Alondra Segovia,televisores
MLC50189590,"55"" Crystal UHD U8000F 4K Smart TV (2025)",,333957,579990.0,42,True,https://www.mercadolibre.cl/55-crystal-uhd-u8000f-4k-smart-tv-2025/p/MLC50189590#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=8&type=product&tracking_id=9f378fbc-f1c5-499c-ada8-b94b04065ae7&wid=MLC1614869753&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_936845-MLA104781444397_012026-E.webp,1,2026-04-30T15:45:32.968405,E-Commerce,Alondra Segovia,televisores
MLC49821567,"Televisor Smart 55"" Qled Q7fa 4k Vision Ai Samsung",Samsung,392892,629990.0,37,True,https://www.mercadolibre.cl/televisor-smart-55-qled-q7fa-4k-vision-ai-samsung/p/MLC49821567#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=9&type=product&tracking_id=9f378fbc-f1c5-499c-ada8-b94b04065ae7&wid=MLC2937858696&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_699297-MLA96172209241_102025-E.webp,1,2026-04-30T15:45:32.968405,E-Commerce,Alondra Segovia,televisores
MLC37848563,"Smart TV LED Caixun Google TV 50"" UHD 4K C50V1UG",Caixun,239990,349990.0,31,True,https://www.mercadolibre.cl/smart-tv-led-caixun-google-tv-50-uhd-4k-c50v1ug/p/MLC37848563#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=10&type=product&tracking_id=9f378fbc-f1c5-499c-ada8-b94b04065ae7&wid=MLC2519699546&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_826039-MLA103741288286_012026-E.webp,1,2026-04-30T15:45:32.968405,E-Commerce,Alondra Segovia,televisores
