titulo,precio_actual,precio_original,descuento_porcentaje,tiene_descuento,url,pagina,fecha_scraping,grupo
Teléfono Oppo Reno13 F 5G 12+256GB Morado Smartphone,449990,449990.0,26,True,,1,2026-04-21T04:55:02.089686,E-Commerce
Nothing Phone (3a) 12gb Ram 256gb Rom Teléfono 5g Smartphone Snapdragon 7s Gen 3 Octa Core 6.77'' Amoled Pantalla 120hz 3000 Nits Nfc Bluetooth 5.4 Color BL,499990,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Celular Xiaomi Redmi Note 15 5g Negro 256 Gb Rom 8 Gb Ram,349990,349990.0,24,True,,1,2026-04-21T04:55:02.089686,E-Commerce
Teléfono Oppo Reno14 F 5G 12+256GB Verde Smartphone Cph2743,569990,569990.0,25,True,,1,2026-04-21T04:55:02.089686,E-Commerce
Celular Ulefone Armor X32 Pro 5g Dual Sim Teléfono robusto 256 GB Rom 8+8 GB Ram 5.65 Smartphone Android 14 25mp Cámara De Visión Nocturna,411556,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Celular Xiaomi Redmi Note 15 5g Negro 256 Gb Rom 8 Gb Ram,349990,349990.0,24,True,,1,2026-04-21T04:55:02.089686,E-Commerce
Soportes Para Teléfonos Móviles Para Motocicletas Y Biciclet,2826,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Teléfono Oppo Reno13 F 5G 12+256GB Morado Smartphone,449990,449990.0,26,True,,1,2026-04-21T04:55:02.089686,E-Commerce
Teléfono Robusto Celular Ulefone Armor 33 Pro 5g Dual Sim 16+16gb Ram 512gb Rom 25500mah Batería 50mp 64mp Cámara De Visión Nocturna Smartphone,888365,888365.0,48,True,,1,2026-04-21T04:55:02.089686,E-Commerce
"Ulefone Armor 27 Pro 5g 10600 mAh, doble SIM, Android 14, teléfono inteligente robusto, cámara nocturna de 64 megapíxeles, cámara dual de 50 megapíxeles, hasta 24 GB de RAM+256 GB de ROM NFC",523431,523431.0,35,True,,1,2026-04-21T04:55:02.089686,E-Commerce
Celular Adulto Mayor Senior Tercera Edad Bt Teléfono,55000,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Ulefone Armor 30 Pro 5g Teléfono Rugged Dual Sim Smartphone,727787,727787.0,40,True,,1,2026-04-21T04:55:02.089686,E-Commerce
5 Lapiz Touch Táctil Tablet Celular Smartphone Pack 05,4990,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Kit Grip Magsafe + Luz Led Espejo Y Disparador Para Teléfono,76990,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Teléfono Oppo Reno14 F 5G 12+256GB Verde Smartphone Cph2743,569990,569990.0,25,True,,1,2026-04-21T04:55:02.089686,E-Commerce
Porta Celular Carro Estable Soporte For Teléfono For Coche,2782,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Celular Adulto Mayor Senior Tercera Edad Teléfono Móvil Bt,73700,73700.0,17,True,,1,2026-04-21T04:55:02.089686,E-Commerce
Suporte Giratório Dobrável Para Ventosa Magnética A H,3600,3600.0,9,True,,1,2026-04-21T04:55:02.089686,E-Commerce
Jykl Sjsj Teléfonos Inteligentes Android Baratos S24ultra,48942,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Para Jjg Mini Teléfono Inteligente Android Ultrapequeño Para,31004,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Ulefone Armor X31 Pro 5g Dual Sim Teléfono Resistente Android 15 Smartphone 6.56 16gb Ram 256gb Rom Cámara Nocturna 6050mah Nfc Negro,435822,435822.0,43,True,,1,2026-04-21T04:55:02.089686,E-Commerce
Ulefone Armor Series 27t pro celular imagenes termicas 24GB ram 256GB rom color negro,697618,697618.0,36,True,,1,2026-04-21T04:55:02.089686,E-Commerce
Celular Ulefone Armor X32 Pro 5g Dual Sim Teléfono robusto 256 GB Rom 8+8 GB Ram 5.65 Smartphone Android 14 25mp Cámara De Visión Nocturna,411556,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Lápiz Táctil S Pen Para Samsung Galaxy Note 10/10+,4862,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Smartphones V27 5.45 En Baratos 3g 1+8gb Gris,80000,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Mini Teléfono Inteligente Android Ultra Pequeño Para Estudia,37324,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Smartphone 8849 Tank 2 Pro Rugged 12 Gb+512 Gb Android 14,661005,661005.0,21,True,,1,2026-04-21T04:55:02.089686,E-Commerce
Rx Mini Smartphone Android Ultrapequeño Para Estudiantes.,37031,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
~ Smartphone Android Baratos 4g I16 Pro Max 6.0 Pulgadas !!,55768,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Szm Sjsj Sjsj Znsj T Smartphone S24 Ultra Económico De 2026,45751,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Teléfono Inteligente I14 Pro Max1tb+16 Gb Teléfono Inteligen,71777,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Phoi Sjsj Sjsj Bxsj Android Celulares 4g S25 Ultra 6.0,71102,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Smartphones Rino9 5.0 En Baratos 3g 1+8gb Negro,80000,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Mini Teléfono Inteligente Android Ultra Pequeño Para Estudia,37128,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Miniteléfono A19pro Android Smart 4g De 2 Gb+16 Gb,60933,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Nuevo Teléfono Móvil Transfronterizo S21+pro Teléfono,65075,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Teléfono Inteligente Motorola Moto G Stylus 5g De 4/128 Gb Y,162684,162684.0,5,True,,1,2026-04-21T04:55:02.089686,E-Commerce
Mini Teléfono Inteligente I17 Promax Cross Border Más Vendid,52168,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Teléfono Inteligente Super Mini 3g Xs11 Dual Sim Whatsapp,43751,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
.mini Teléfono Inteligente Android Ultrapequeño Para S Ghsm,32275,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Mini Smartphone Android Ultrapequeño Para Estudiantes 2025,37324,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Miniteléfono Inteligente A17mini Ultrapequeño De 2 Gb+16 Gb,42737,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
"Mini Smartphone, Teléfono Móvil S23 Pro Smartphone",35920,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
``` New Smartphone Roiesvry Xs16 Mini Lte De 3 Pulgadas ``,48648,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
P Smartphone Global S24pro Mini 4g Android 2+16 Gb,70586,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Rx Mini Smartphone Android Ultrapequeño For Students.,34657,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Smartphone Android Barato I15 Promax 16 Gb+1 Tb P,69262,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
"Smartphone Global S25 Ultra, 5g, 7.3 Pulgadas, 16 Gb, 1 Tb,",98453,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Szm S0j Sjsj Sjsj Wjaz Android Celulares 4g S24 6.8 2026,59128,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Teléfono Celular Reacondicionado Samsung Galaxy Z Flip 6 256,630969,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
"Smartphone Google Pixel 9a Con Gemini, 256gb Rom, Obsidiana",546845,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Miniteléfono A19pro Android Smart 4g De 2 Gb+16 Gb,59617,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Teléfono Celular Reacondicionado Samsung Galaxy A42 5g 128gb,197324,197324.0,21,True,,1,2026-04-21T04:55:02.089686,E-Commerce
Mini Teléfono Inteligente I17 Promax - Smartphone Compacto -,80657,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
"8g+256g Smartphone De Gama Alta, 1 A 1 Réplica 16pro",226729,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
Smartphones Baratos I16 Plus 5.0 En 3g 1+16gb,92444,,0,False,,1,2026-04-21T04:55:02.089686,E-Commerce
