producto_id,titulo,marca,precio_actual,precio_original,descuento_porcentaje,tiene_descuento,url,imagen_url,pagina,fecha_scraping,grupo,responsable
,Teléfono Oppo Reno13 F 5G 12+256GB Morado Smartphone,Teléfono,449990,449990.0,26,True,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=kjv2JXK2zYRGOoilTS76T2dqDeWYjM1d8ARi4CL314H2oXe8YtXPwlI5pFY60xWk5IoGNiJIoAGszXQDXHlnf%2FC4Ryp6Q2Do7NjJdozpT1EjyN47ho43omqhk6EPIlH%2BtEa0MT1dN6x5SrcreBRU7SdY7pddb%2B%2BHP%2Bkwf4xJSJcSxAIckpebgCfs1hmdbYd6mSf36UdXukzl5JWl3GqrLffYOVQKGWEMrrivHvjNj7pLLtl%2FQ7CyNgi2NR6I0AKpVa%2FGc8AtUZ5AjBp90tZH6ZNiMHfIjkt%2BgHFA6wpKGwXDkfB%2BYY4i4RKDPsbGyk7kG%2F75bKwenDNRkdIVDDtmyC0GtCaV2o7RVivWO2PplAWVUbPOJtYrBKFsiRmmXVv8tWPKZrh1YyPlogHlERn4DZjn72gsFxhjya5R7P5ADWwVNjuq6wjPD0q2%2FjhWhqINAy8jh%2BDCTc8MyFJJ0FMgQ2gjzIBBkoNaQlAN7fuy1%2BOJhlR189cHTLXmsw36Xyp24LNa7a4nGnuZpYDtaj11Jk7Y%2B5dz2sJ2zgb5h5%2F%2BM7Azgwx9SWt0y9dCrMZQr%2FtH8z3x1bI5hzBn9TCAwdp4hXcw4%2BGNYmzWFGAWxguJr0ZM3urVRrIEpzTe5yI%2FdX8zdcaobhZUlcWttkjJHt3Z4eSW6r7lYETux1Xmka5WU8BEoQSc84gLwbA4bGS%2F%2BLo%2B7WVeQeIG%2BHMByFLVCd%2FcE6XngczDszqLsrdNKxqksSAGTvtt8pWJ8Wwr%2FosNXBSxDFzcduDEIgLzd3cxVybGcoAU1XW979wXu3ZHOinbMQi9vkXiT4BanUUWV0WeQSXqiKAOPnZBVaPIzDNHacXE0fPwsTEa5tGh6kiSD4Z%2FWpn%2B4jqebznnekwHEv7%2FktTPjUDRqhAqKHFD08C6tW9RLqjZJb4GdqzIl%2F7OfcHvw3bAUQ61QE1Qkg%3D%3D#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC52676293&backend_model=search-backend&search_layout=grid&position=1&type=pad&tracking_id=65ab5a88-f4c4-49d0-bc02-d29b778d3687&wid=MLC1677507405&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_911928-MLA99991511179_112025-E.webp,1,2026-04-22T00:19:02.623400,E-Commerce,Valentina
,Celular Ulefone Armor X32 Pro 5g Dual Sim Teléfono robusto 256 GB Rom 8+8 GB Ram 5.65 Smartphone Android 14 25mp Cámara De Visión Nocturna,Celular,413394,,0,False,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=tGPIkKulUv0b5x1NIDwXVOtMTKzaPtSfb63vcsw3i0BYJwRmw%2FWGUEzSqcgJVzALrkDG5ohOFvLtz2RTbdffRtiLAXdVIYpTyol96C2MZO5uF36NBQT0dI%2FhJSYM0be%2B4uA3P8k19udl%2Fht%2FtJ7YU1hZsKRvKgu5w%2FxNVML1PQFPPv8DTw%2B0gPK8FtMZZNde40lXIQWLm2csUL5aitCPNjuf2kpIe1UNZbidVe%2FCSzNUn2U4QrCPNscxmzpEX2htN2lriu5THKDuaqvwSFsF%2BEvdlphd%2BrKFEt1BT4TR2hcsGGJA%2FzNPv0xOm4CFZxHfaKcM6LqNQvvU%2FBb14kaxeu7P%2BgyrBLvylLPmKJuLiBa0SY2m4HPKYxLPi56tba3x%2Bsc9ltVfMKV%2B%2FiXF1pWNkmGIrJwVG9OC60jxE%2Bk3FDtg7T5lpkgcMexcHLtaw1Ud2AbnqFnIZZf%2BZ16iXGptaw8hxHHhHwI664tiucHwVLP%2B%2FaWEyAnnPEjebuhmk%2B1KIDWnB%2Flgj4hRLh1XtvFtVfkZTBmdbdgkhCbD7hpLuCqAnJOwSwgWsGz0w2rntTm%2FmLJQgeTlydI5Y4sRuGGGbaH7g3p5XRsbiHCZ0uUFQbsbSIIGwruTIUX7nRM%2FhsXNj1tcJk15RqqdRCpZ5z2MtnvQx4pf%2Ft%2FjK4WeFpegOC%2B%2FqjMMV9lsiddbMXPtvZcor12fZqAi1r582TGPvBI8DBpJ4eBXZZlUhLpc%2BHZt8rKLppWOLgG72t3EFSM3UzC4zMp%2F8kGuVgvkZDW%2BmSiT2Capch4066r%2BX6Z65oWaD%2FICGzu11b6Qk49%2BZwDEJVCj7w%2BkDZ%2FuKZ3hQlVxmDEBA8yx3AaIlcvVKITNHyJttd8PTUntZNUdTUKD7MosIKk3KGQ0zEcWo%2BnrJ8zfI%2Blch58u6tzIsNLA0T%2FxEtGERxkCfGMcquEmiEWGNnxvzBD7Hd0H21soSbLn25m2J6xbOSVRTmEx7daQXlWI%2BJf8TtYdiE%2BV8IennjI5whgO4jz782rZpJ%2B%2FM9Loxr7ddiCQEK0pTIvG7BVZ2ucoyvw%3D#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC51350188&backend_model=search-backend&search_layout=grid&position=2&type=pad&tracking_id=65ab5a88-f4c4-49d0-bc02-d29b778d3687&wid=MLC2930768982&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_843833-MLA99498685528_112025-E.webp,1,2026-04-22T00:19:02.623400,E-Commerce,Valentina
,Kit Grip Magsafe + Luz Led Espejo Y Disparador Para Teléfono,Kit,76990,,0,False,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=jR4nzXcaFFwieIcaLqjzD9AhlrK81lLpwQQi4d5DN%2BNd0AWKIaa1fcMHOUGbpsuQ8RajPmqHZjY4kZ7rqtq6KEXrc3cuToMKGWG8pntet1HwaislULj9aEf3Wp1Pp17wR7XauiNoo3ibKUPCRFI969o9b4fvd5dCJDwrfWyN91sUBakCUk4Yr%2F%2B2CLnMsqwaqDpLBtJaz0d1k4M0smr7v%2FUcQFwt0WJ1NZgpSaFx3bQvG8tK12Vy8069iVf0sNHrgoZbPhTvsyxybFMvsvUyavS1FUUhmPW8V%2FLy3T2zDCo0HRSjVN%2BzItXjUD4cS7UbGc5bHRiRLQlsWOSKeKu3d5%2FpnkE%2BSZ4Cy%2Bgus8%2Bg1V8gjF3UKIa71QA84sm2Gcg5TSoRzWwPDLrDaXxOrIfxym8VB8rZxeER4XvGTO%2BpLZIz8o4BzKguFGyuFFZfCtSZ03U3Pj4Zi7yHQp%2BJtKz2LazJ6u7AVrEBON%2Bs7qH8lhe3UA%2BT9wrFn2Iho4ji4r6s3PvoT9UaL1mdgZhjPbgNvZ5oNSdZKHgypgjWZJMN%2BT9qP4noX1PRQ9VRJsIhD91%2Bc7TGS4TNreFtD0I7nTsKp8z%2BZ2hzGBmBpa8wonlZcZ1baYTwUaR6Gu0yj1yWc7MLvlA%2BrrlqAi31vWKPVhYqbaVg%2FUa%2FwqNgAQ6LZuFyAb73%2FQSbHViKG9txPW%2FPaw7f74WFMpdfX7PN9Hw2eJE4kVQOQrJ60o1LITfIitWJusxzVwyuopMbHucZLy04QgU1zQ%2BkYCehjsPPs%2FjhAbh%2B1pjY36Oj5f4wb2ZswkXF4WVIjGRO3v5f70foTpn9VQgXOiYdfUQ%2FDYMswIF57yfZE%2BR9ALVavTpKx5c27nuZzLKDl0NXvA%2F8KIq7VKkyQHlfEiPqGyw%2BAtlIbgvtYzTRAZVZM3tnR3esApTP%2F0%2FggKzaJEQBw5uaXbmtJhNp69CGAYLdOg%3D%3D#polycard_client=search-desktop&is_advertising=true&searchVariation=MLCU3262296981&backend_model=search-backend&search_layout=grid&position=3&type=pad&tracking_id=65ab5a88-f4c4-49d0-bc02-d29b778d3687&wid=MLC2942222138&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_975799-MLC90289222140_082025-E.webp,1,2026-04-22T00:19:02.623400,E-Commerce,Valentina
,5 Lapiz Touch Táctil Tablet Celular Smartphone Pack 05,5,4990,,0,False,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=ejpA%2FCvV5tZJ%2F2i8Xcrw3mC1FbolEtAFAnN44zvcjo2Djl3JFS7kbd0TgcrMrhYuOGJ%2BTnXxWx1c83%2BWeSfNEbbNa4DxQ5hYnkKEUefjvZOPE2SUVbgDMJY3pf3nPbxy9qU93Q%2BEz%2FuNsEnuQJ7rJHa7Um1P9FMs2O2P0elbF1ystG5sltb2bqUt5YdC%2BvRwrronrS1%2BB6ctwiJqh0XVg0UeR%2FQvhKsdpgzZYaINoqGuvhLO9vZgmq9H%2BDG6c%2B5s3x5efr5LDuUSSDEqR2DSilpVTgjcC25D43wjLy8VUemO9X9n1uvO%2Fps8oPCgEduvlffjUI6e3A5Pq961Fcd%2FYrAB92ZOV1Vzz91YMVrZoFhDyyv7q4p0%2Fpxu1UqUF5ZNuGaG9Hz9RYmxFxoDTvlaxrElVruBqxS%2B%2BFNinuEYUkwg6vz9qvmH1xle17OTcT3MAAAmCCTkis4kaJCpN2BipMLtllhj2mM6ojizIDISF8eqFQ%2FessbuHay%2Bq3fPhlPBPAf8QoLhmEDkHT0y%2FTfcGd%2FrW8a9qEaOJGS1FL0FS8ldgYZCAlAEnuTbUPDD%2B%2By1oD5QlR9lAw1K4dSghEntvBr4WHNjgqqISAldfRotixMXBn%2BEz16RyogWzCtDF3Bi%2FZdyB38dD9GyU7JCiVzvFih7Mt5V49sHGMk3Txh3swjt61MK5MXXQJRI2lt2x7V31wSf95YdCBRSj0nWx%2BIFj3aLsggupKFSei1AEnXdKfqtbDdNIx3hQwBOVct2ezSwNTXlR5OPEyE8aMmarLqGVd6KtfOVDHHeVfVgdt2LcyUCOhsQg6qJ%2B%2BA%2BcEHxlsFIoYGooikzLDg3Q%2FTxOKOdleOW3MpdKGveuCn4E4AUpeP78dSSTmrnMTK1Ieij1wq94PQLM%2F8qEhSmZqA6lmf7zgsoDA1J4d7agiav7cHZgcBk2OrT%2Begaf2qGAfZ6tJ9pnMQ%3D#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC2042139276&backend_model=search-backend&search_layout=grid&position=4&type=pad&tracking_id=65ab5a88-f4c4-49d0-bc02-d29b778d3687&wid=MLC3429335322&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_774876-MLC97922071000_112025-E.webp,1,2026-04-22T00:19:02.623400,E-Commerce,Valentina
,Celular Ulefone Armor X32 Pro 5g Dual Sim Teléfono robusto 256 GB Rom 8+8 GB Ram 5.65 Smartphone Android 14 25mp Cámara De Visión Nocturna,Celular,413394,,0,False,https://www.mercadolibre.cl/celular-ulefone-armor-x32-pro-5g-dual-sim-telefono-robusto-256-gb-rom-88-gb-ram-565-smartphone-android-14-25mp-camara-de-vision-nocturna/p/MLC51350188#polycard_client=search-desktop&search_layout=grid&position=5&type=product&tracking_id=65ab5a88-f4c4-49d0-bc02-d29b778d3687&wid=MLC2930768982&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_843833-MLA99498685528_112025-E.webp,1,2026-04-22T00:19:02.623400,E-Commerce,Valentina
,Celular Xiaomi Redmi Note 15 5g Negro 256 Gb Rom 8 Gb Ram,Celular,349990,349990.0,24,True,https://www.mercadolibre.cl/celular-xiaomi-redmi-note-15-5g-negro-256-gb-rom-8-gb-ram/up/MLCU3739079138#polycard_client=search-desktop&search_layout=grid&position=6&type=product&tracking_id=65ab5a88-f4c4-49d0-bc02-d29b778d3687&wid=MLC1827621623&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_906900-MLC108659368732_032026-E.webp,1,2026-04-22T00:19:02.623400,E-Commerce,Valentina
,Teléfono Robusto Celular Ulefone Armor 33 Pro 5g Dual Sim 16+16gb Ram 512gb Rom 25500mah Batería 50mp 64mp Cámara De Visión Nocturna Smartphone,Teléfono,892333,892333.0,48,True,https://www.mercadolibre.cl/telefono-robusto-celular-ulefone-armor-33-pro-5g-dual-sim-1616gb-ram-512gb-rom-25500mah-bateria-50mp-64mp-camara-de-vision-nocturna-smartphone/p/MLC55776819#polycard_client=search-desktop&search_layout=grid&position=7&type=product&tracking_id=65ab5a88-f4c4-49d0-bc02-d29b778d3687&wid=MLC3209768544&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_787535-MLA101567150585_122025-E.webp,1,2026-04-22T00:19:02.623400,E-Commerce,Valentina
,Teléfono Oppo Reno13 F 5G 12+256GB Morado Smartphone,Teléfono,449990,449990.0,26,True,https://www.mercadolibre.cl/telefono-oppo-reno13-f-5g-12256gb-morado-smartphone/p/MLC52676293#polycard_client=search-desktop&search_layout=grid&position=8&type=product&tracking_id=65ab5a88-f4c4-49d0-bc02-d29b778d3687&wid=MLC1677507405&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_911928-MLA99991511179_112025-E.webp,1,2026-04-22T00:19:02.623400,E-Commerce,Valentina
,"Ulefone Armor 27 Pro 5g 10600 mAh, doble SIM, Android 14, teléfono inteligente robusto, cámara nocturna de 64 megapíxeles, cámara dual de 50 megapíxeles, hasta 24 GB de RAM+256 GB de ROM NFC",Ulefone,525769,525769.0,35,True,https://www.mercadolibre.cl/ulefone-armor-27-pro-5g-10600-mah-doble-sim-android-14-telefono-inteligente-robusto-camara-nocturna-de-64-megapixeles-camara-dual-de-50-megapixeles-hasta-24-gb-de-ram256-gb-de-rom-nfc/p/MLC53175901#polycard_client=search-desktop&search_layout=grid&position=9&type=product&tracking_id=65ab5a88-f4c4-49d0-bc02-d29b778d3687&wid=MLC1848262391&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_706816-MLA88462057576_072025-E.webp,1,2026-04-22T00:19:02.623400,E-Commerce,Valentina
,Celular Adulto Mayor Senior Tercera Edad Bt Teléfono,Celular,55000,,0,False,https://www.mercadolibre.cl/celular-adulto-mayor-senior-tercera-edad-bt-telefono/up/MLCU2965142896#polycard_client=search-desktop&search_layout=grid&position=10&type=product&tracking_id=65ab5a88-f4c4-49d0-bc02-d29b778d3687&wid=MLC1569327207&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_943768-MLC92296157546_092025-E.webp,1,2026-04-22T00:19:02.623400,E-Commerce,Valentina
,Ulefone Armor X31 Pro 5g Dual Sim Teléfono Resistente Android 15 Smartphone 6.56 16gb Ram 256gb Rom Cámara Nocturna 6050mah Nfc Negro,Ulefone,437769,437769.0,43,True,https://www.mercadolibre.cl/ulefone-armor-x31-pro-5g-dual-sim-telefono-resistente-android-15-smartphone-656-16gb-ram-256gb-rom-camara-nocturna-6050mah-nfc-negro/p/MLC48915655#polycard_client=search-desktop&search_layout=grid&position=11&type=product&tracking_id=65ab5a88-f4c4-49d0-bc02-d29b778d3687&wid=MLC3455179472&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_641857-MLA102130571462_122025-E.webp,1,2026-04-22T00:19:02.623400,E-Commerce,Valentina
MLC-3037192742-ulefone-armor-30-pro-5g-telefono-rugged-dual-sim-smartphone-_JM#polycard_client=search-desktop&search_layout=grid&position=12&type=item&tracking_id=65ab5a88-f4c4-49d0-bc02-d29b778d3687,Ulefone Armor 30 Pro 5g Teléfono Rugged Dual Sim Smartphone,Ulefone,731038,731038.0,40,True,https://articulo.mercadolibre.cl/MLC-3037192742-ulefone-armor-30-pro-5g-telefono-rugged-dual-sim-smartphone-_JM#polycard_client=search-desktop&search_layout=grid&position=12&type=item&tracking_id=65ab5a88-f4c4-49d0-bc02-d29b778d3687,https://http2.mlstatic.com/D_Q_NP_2X_630749-CBT84700783522_052025-E.webp,1,2026-04-22T00:19:02.623400,E-Commerce,Valentina
