variable_nombre,variable_valor,status
¿Quiénes somos? ME Elecmetal es una...,,1.0
"En Linde , importante empresa multinacional...",,1.0
"Compañía Minera Glencore Lomas Bayas,...",,1.0
"Compañía Minera Glencore Lomas Bayas,...",,1.0
"Nuestro cliente, Capstone Copper, requiere...",,1.0
Objetivo del Cargo Liderar la gestión...,,1.0
📍 ANTOFAGASTA Importante empresa del...,,1.0
"Somos más de 100 mil personas que, día...",,1.0
En J.E.J Ingeniería nos encontramos...,,1.0
"Únete a FCAB , empresa líder en transporte...",,1.0
"Somos más de 100 mil personas que, día...",,1.0
Importante multinacional del rubro...,,1.0
En J.E.J Ingeniería estamos en búsqueda...,,1.0
"Súmate a Train, empresa del Grupo FCAB,...",,1.0
En J.E.J Ingeniería estamos en búsqueda...,,1.0
